n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoExacto, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
25, 1, 1, 1, 1, 1, 289874, 3007, 2857, 247956
25, 2, 1, 1, 1, 1, 203436, 1794, 1964, 165354
25, 3, 1, 1, 1, 1, 199646, 1772, 1161, 159057
25, 4, 2, 2, 2, 2, 223909, 1765, 736, 157588
25, 5, 1, 1, 1, 1, 214165, 1798, 1098, 174839
25, 6, 2, 2, 2, 2, 279070, 3445, 973, 199077
25, 7, 2, 2, 2, 2, 263223, 2350, 835, 193263
25, 8, 2, 2, 2, 2, 257811, 2558, 805, 189707
25, 9, 2, 2, 2, 2, 354507, 4653, 1144, 245325
25, 10, 3, 3, 3, 3, 395984, 4355, 1098, 288259
25, 11, 4, 4, 4, 4, 291564, 3973, 842, 219286
25, 12, 3, 3, 3, 3, 288499, 2910, 779, 232442
25, 13, 3, 3, 3, 3, 402838, 5401, 1036, 302323
25, 14, 4, 4, 4, 4, 435167, 3935, 1185, 269851
25, 15, 3, 3, 3, 3, 450570, 6282, 1152, 333766
25, 16, 4, 4, 4, 4, 412138, 5655, 1114, 340062
25, 17, 5, 5, 5, 5, 389859, 4966, 860, 290926
25, 18, 5, 5, 5, 5, 498010, 7013, 1311, 321857
25, 19, 4, 4, 4, 4, 471293, 6537, 1102, 338808
25, 20, 5, 5, 5, 5, 433426, 4863, 1157, 289733
25, 21, 5, 5, 5, 5, 336328, 3550, 780, 238836
25, 22, 5, 5, 5, 5, 367585, 5766, 991, 298932
25, 23, 4, 4, 4, 4, 531825, 7747, 1141, 358397
25, 24, 7, 7, 7, 7, 524009, 10696, 1156, 391149
25, 25, 7, 7, 7, 7, 368215, 7413, 1036, 289017
25, 26, 6, 6, 6, 6, 360510, 5610, 807, 318878
25, 27, 6, 6, 6, 6, 546772, 7799, 1065, 396269
25, 28, 7, 7, 7, 7, 514789, 8387, 1038, 339396
25, 29, 7, 7, 7, 7, 463196, 7498, 1105, 426917
25, 30, 8, 8, 8, 8, 529734, 9127, 1028, 463194
25, 31, 8, 8, 8, 8, 418199, 5955, 999, 386138
25, 32, 7, 7, 7, 7, 683856, 11285, 1292, 526831
25, 33, 8, 8, 8, 8, 429347, 5082, 928, 378773
25, 34, 8, 8, 8, 8, 420058, 5017, 856, 371973
25, 35, 9, 9, 9, 9, 505926, 7957, 1085, 405929
25, 36, 9, 9, 9, 9, 481575, 7180, 867, 481597
25, 37, 11, 11, 11, 11, 431480, 6160, 945, 400243
25, 38, 9, 9, 9, 9, 470555, 7872, 889, 449271
25, 39, 10, 10, 10, 10, 539767, 11720, 1050, 584510
25, 40, 11, 11, 11, 11, 866190, 13090, 1320, 623036
25, 41, 10, 10, 10, 10, 604687, 10579, 1121, 594051
25, 42, 13, 12, 12, 13, 515442, 7307, 1074, 461554
25, 43, 12, 12, 12, 12, 639226, 9486, 1245, 482542
25, 44, 10, 10, 10, 10, 562944, 7153, 1033, 545220
25, 45, 11, 11, 11, 11, 606035, 10005, 1220, 549052
25, 46, 11, 11, 11, 11, 517212, 9251, 987, 529571
25, 47, 13, 12, 13, 13, 511855, 8403, 1348, 546006
25, 48, 12, 11, 12, 12, 554616, 6892, 1398, 502313
25, 49, 12, 11, 12, 12, 555455, 8074, 1236, 592866
25, 50, 14, 13, 13, 14, 664519, 8598, 1004, 535263
25, 51, 12, 11, 11, 11, 584736, 9435, 1446, 612636
25, 52, 14, 14, 14, 14, 686887, 7901, 1256, 563267
25, 53, 14, 14, 14, 14, 697384, 9636, 1205, 640561
25, 54, 12, 12, 12, 12, 691968, 11537, 1276, 809972
25, 55, 13, 12, 13, 13, 1046551, 16816, 2706, 930681
25, 56, 16, 15, 16, 16, 1042756, 13696, 2087, 935386
25, 57, 14, 14, 14, 14, 998581, 16674, 2178, 961324
25, 58, 18, 17, 17, 18, 1143573, 14858, 2092, 939692
25, 59, 15, 13, 14, 15, 1030227, 14987, 2290, 948274
25, 60, 17, 15, 16, 17, 796427, 12472, 2324, 766045
25, 61, 17, 15, 16, 17, 1132437, 13970, 2627, 1032037
25, 62, 19, 17, 18, 19, 1221611, 14565, 2364, 970344
25, 63, 18, 16, 18, 18, 1219365, 11199, 3060, 1055699
25, 64, 17, 15, 17, 17, 1282436, 17815, 3070, 1059115
25, 65, 19, 18, 19, 19, 1284107, 16721, 2135, 878649
25, 66, 16, 14, 16, 16, 843708, 13349, 2217, 766936
25, 67, 17, 15, 16, 17, 1122797, 17789, 2786, 1043707
25, 68, 21, 20, 21, 21, 1280336, 18499, 2194, 1010938
25, 69, 16, 15, 16, 16, 1415487, 20350, 3142, 1207871
25, 70, 18, 18, 18, 18, 1263177, 16023, 2068, 969031
25, 71, 19, 15, 18, 19, 996567, 13020, 2263, 883735
25, 72, 21, 20, 21, 21, 1497966, 16852, 2658, 1206070
25, 73, 19, 17, 18, 19, 1378176, 17854, 2740, 1234961
25, 74, 20, 17, 20, 20, 1454355, 18581, 3610, 1093936
25, 75, 22, 21, 21, 22, 1590779, 20388, 2445, 1185566
25, 76, 22, 21, 21, 22, 1428844, 17542, 2460, 1243354
25, 77, 23, 23, 23, 23, 1168969, 13758, 1839, 852877
25, 78, 21, 20, 20, 21, 1060401, 10576, 1819, 810225
25, 79, 23, 21, 22, 23, 1013729, 12201, 2174, 831021
25, 80, 25, 22, 23, 25, 1225916, 12726, 2154, 842028
25, 81, 22, 19, 20, 22, 1082973, 12466, 2233, 835602
25, 82, 26, 26, 26, 26, 1313223, 13314, 1878, 1052728
25, 83, 26, 21, 23, 26, 1334009, 17091, 2855, 1185369
25, 84, 24, 20, 24, 24, 1935645, 21562, 4305, 1305203
25, 85, 24, 21, 22, 24, 1699266, 23811, 3345, 1348968
25, 86, 25, 25, 25, 25, 1975669, 18943, 2182, 1338789
25, 87, 27, 26, 27, 27, 1950013, 19961, 2681, 1365345
25, 88, 23, 18, 22, 23, 1842745, 26513, 3683, 1349492
25, 89, 27, 25, 26, 27, 1947865, 22030, 3069, 1421988
25, 90, 25, 22, 23, 25, 1830018, 22698, 3292, 1395269
25, 91, 25, 21, 24, 24, 2197896, 21394, 4220, 1411923
25, 92, 29, 27, 29, 29, 2432914, 21973, 4029, 1383616
25, 93, 24, 22, 23, 24, 2148345, 24615, 2885, 1425817
