k, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
5, 8, 5, 5, 8, 2924, 772, 200097
25, 48, 25, 25, 48, 3778, 1962, 527044
45, 88, 45, 45, 88, 7752, 3304, 870351
65, 128, 65, 65, 128, 11434, 5206, 1697728
85, 168, 85, 85, 168, 15753, 7537, 2960541
105, 208, 105, 105, 208, 19255, 9733, 3904357
125, 248, 125, 125, 248, 20229, 10195, 3603804
145, 288, 145, 145, 288, 26274, 11811, 3875746
165, 328, 165, 165, 328, 25833, 13136, 4797293
185, 368, 185, 185, 368, 27324, 14694, 5321806
205, 408, 205, 205, 408, 32304, 15687, 5243273
225, 448, 225, 225, 448, 30999, 16077, 5213814
245, 488, 245, 245, 488, 33562, 18780, 7157208
265, 528, 265, 265, 528, 32114, 16473, 8296573
285, 568, 285, 285, 568, 40864, 21383, 8457027
305, 608, 305, 305, 608, 37299, 21192, 8715938
325, 648, 325, 325, 648, 35865, 20471, 7452047
345, 688, 345, 345, 688, 58725, 26698, 10805245
365, 728, 365, 365, 728, 42485, 22837, 9414954
385, 768, 385, 385, 768, 50809, 29291, 12063070
405, 808, 405, 405, 808, 47192, 27730, 10268596
425, 848, 425, 425, 848, 54193, 31510, 12737789
445, 888, 445, 445, 888, 46173, 27095, 9171466
465, 928, 465, 465, 928, 60456, 35644, 14672935
485, 968, 485, 485, 968, 56643, 33248, 12353634
505, 1008, 505, 505, 1008, 64019, 38257, 16050630
525, 1048, 525, 525, 1048, 65057, 38540, 16025232
545, 1088, 545, 545, 1088, 62790, 37577, 15002752
565, 1128, 565, 565, 1128, 48806, 30085, 11412720
585, 1168, 585, 585, 1168, 50973, 31325, 12330374
605, 1208, 605, 605, 1208, 65426, 46115, 16195435
625, 1248, 625, 625, 1248, 54535, 33536, 14213728
645, 1288, 645, 645, 1288, 55459, 34155, 13460277
665, 1328, 665, 665, 1328, 69428, 37572, 14611269
685, 1368, 685, 685, 1368, 58311, 36146, 15341443
705, 1408, 705, 705, 1408, 60724, 37763, 15116362
725, 1448, 725, 725, 1448, 70675, 39242, 15142183
745, 1488, 745, 745, 1488, 64483, 44058, 16411276
765, 1528, 765, 765, 1528, 66228, 40368, 16986334
785, 1568, 785, 785, 1568, 75892, 54682, 19531049
805, 1608, 805, 805, 1608, 68579, 42414, 16917973
825, 1648, 825, 825, 1648, 68782, 43064, 19039202
845, 1688, 845, 845, 1688, 105254, 48240, 20527927
865, 1728, 865, 865, 1728, 90098, 63122, 21475497
885, 1768, 885, 885, 1768, 92256, 58184, 20817577
905, 1808, 905, 905, 1808, 87458, 55308, 20799072
925, 1848, 925, 925, 1848, 95042, 58205, 21010769
945, 1888, 945, 945, 1888, 82982, 49686, 20107785
965, 1928, 965, 965, 1928, 83495, 50897, 21049760
985, 1968, 985, 985, 1968, 81281, 51200, 22067914
1005, 2008, 1005, 1005, 2008, 82731, 52353, 21115788
1025, 2048, 1025, 1025, 2048, 98031, 56880, 22591821
1045, 2088, 1045, 1045, 2088, 87309, 54978, 22836348
1065, 2128, 1065, 1065, 2128, 96482, 68021, 24959675
1085, 2168, 1085, 1085, 2168, 117339, 73324, 27536118
1105, 2208, 1105, 1105, 2208, 106016, 65918, 26937273
1125, 2248, 1125, 1125, 2248, 142289, 78642, 27746926
1145, 2288, 1145, 1145, 2288, 107296, 67876, 28517966
1165, 2328, 1165, 1165, 2328, 97912, 62296, 26472972
1185, 2368, 1185, 1185, 2368, 101465, 63455, 26412918
1205, 2408, 1205, 1205, 2408, 101981, 64708, 29120561
1225, 2448, 1225, 1225, 2448, 115656, 74206, 34836873
1245, 2488, 1245, 1245, 2488, 127926, 79812, 31074454
1265, 2528, 1265, 1265, 2528, 152888, 75617, 29847288
1285, 2568, 1285, 1285, 2568, 113634, 79833, 31098307
1305, 2608, 1305, 1305, 2608, 107621, 71792, 29497142
1325, 2648, 1325, 1325, 2648, 140059, 81580, 41819695
1345, 2688, 1345, 1345, 2688, 119916, 73853, 35362721
1365, 2728, 1365, 1365, 2728, 166674, 101168, 40643941
1385, 2768, 1385, 1385, 2768, 114289, 73313, 33674480
1405, 2808, 1405, 1405, 2808, 116112, 74440, 31084406
1425, 2848, 1425, 1425, 2848, 121650, 75499, 33323181
1445, 2888, 1445, 1445, 2888, 122642, 76460, 32800459
1465, 2928, 1465, 1465, 2928, 122679, 77751, 33395646
1485, 2968, 1485, 1485, 2968, 234294, 115233, 46206058
1505, 3008, 1505, 1505, 3008, 196971, 111495, 48664406
1525, 3048, 1525, 1525, 3048, 126006, 82484, 35344534
1545, 3088, 1545, 1545, 3088, 127790, 81910, 36600291
1565, 3128, 1565, 1565, 3128, 146337, 96718, 36386260
1585, 3168, 1585, 1585, 3168, 130648, 83783, 36815260
