k, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
5, 8, 5, 5, 5, 3876, 1713, 305389
25, 48, 25, 25, 25, 8723, 4664, 1168837
45, 88, 45, 45, 45, 11976, 7157, 1823101
65, 128, 65, 65, 65, 18363, 11314, 2878239
85, 168, 85, 85, 85, 21951, 16699, 3798809
105, 208, 105, 105, 105, 26609, 16696, 5074181
125, 248, 125, 125, 125, 29335, 19033, 6103196
145, 288, 145, 145, 145, 31881, 21068, 6620723
165, 328, 165, 165, 165, 38028, 26163, 8753604
185, 368, 185, 185, 185, 37931, 25700, 8508716
205, 408, 205, 205, 205, 41440, 29240, 8530662
225, 448, 225, 225, 225, 39997, 25616, 7902973
245, 488, 245, 245, 245, 46264, 30817, 9979937
265, 528, 265, 265, 265, 48113, 33786, 10453916
285, 568, 285, 285, 285, 55855, 41182, 10618095
305, 608, 305, 305, 305, 65923, 46554, 15429112
325, 648, 325, 325, 325, 60707, 36764, 11880878
345, 688, 345, 345, 345, 56793, 37748, 12469882
365, 728, 365, 365, 365, 61581, 39884, 13767788
385, 768, 385, 385, 385, 55958, 41589, 13650538
405, 808, 405, 405, 405, 57995, 43266, 13781663
425, 848, 425, 425, 425, 63290, 44938, 15193208
445, 888, 445, 445, 445, 63937, 47369, 15394143
465, 928, 465, 465, 465, 66269, 49389, 16426545
485, 968, 485, 485, 485, 69870, 51777, 20122090
505, 1008, 505, 505, 505, 71389, 53633, 17625726
525, 1048, 525, 525, 525, 84492, 56837, 18727525
545, 1088, 545, 545, 545, 84008, 64156, 19487437
565, 1128, 565, 565, 565, 92718, 69041, 23077441
585, 1168, 585, 585, 585, 104615, 77675, 20722534
605, 1208, 605, 605, 605, 85765, 67967, 24615854
625, 1248, 625, 625, 625, 100525, 75633, 28310913
645, 1288, 645, 645, 645, 89512, 67850, 24449097
665, 1328, 665, 665, 665, 91397, 74281, 26391568
685, 1368, 685, 685, 685, 97289, 73205, 26953070
705, 1408, 705, 705, 705, 98693, 75180, 29586814
725, 1448, 725, 725, 725, 113761, 92562, 32873663
745, 1488, 745, 745, 745, 116066, 88933, 27527043
765, 1528, 765, 765, 765, 109806, 81726, 29323726
785, 1568, 785, 785, 785, 109417, 83468, 29794586
805, 1608, 805, 805, 805, 112612, 86493, 29664402
825, 1648, 825, 825, 825, 116084, 88484, 30585554
845, 1688, 845, 845, 845, 131915, 91140, 31690887
865, 1728, 865, 865, 865, 118392, 90828, 32742442
885, 1768, 885, 885, 885, 123331, 107942, 32993841
905, 1808, 905, 905, 905, 129463, 97117, 34204423
925, 1848, 925, 925, 925, 130325, 97327, 36171962
945, 1888, 945, 945, 945, 129420, 99421, 36094585
965, 1928, 965, 965, 965, 131027, 104884, 35564231
985, 1968, 985, 985, 985, 140774, 103899, 37252032
1005, 2008, 1005, 1005, 1005, 138976, 106748, 38284015
1025, 2048, 1025, 1025, 1025, 143620, 110006, 38062169
1045, 2088, 1045, 1045, 1045, 142125, 108488, 38718618
1065, 2128, 1065, 1065, 1065, 143453, 111531, 39426061
1085, 2168, 1085, 1085, 1085, 151923, 114856, 40881121
1105, 2208, 1105, 1105, 1105, 160091, 119603, 40834408
1125, 2248, 1125, 1125, 1125, 160386, 128384, 42192099
1145, 2288, 1145, 1145, 1145, 187685, 141008, 42265843
1165, 2328, 1165, 1165, 1165, 162975, 123913, 51713576
1185, 2368, 1185, 1185, 1185, 174596, 130888, 45013719
1205, 2408, 1205, 1205, 1205, 164573, 129907, 48038733
1225, 2448, 1225, 1225, 1225, 166205, 133690, 48030102
1245, 2488, 1245, 1245, 1245, 168911, 141759, 48662934
1265, 2528, 1265, 1265, 1265, 171968, 141137, 50278727
1285, 2568, 1285, 1285, 1285, 178865, 137327, 50883712
1305, 2608, 1305, 1305, 1305, 204949, 145291, 55666714
1325, 2648, 1325, 1325, 1325, 183773, 143647, 51087513
1345, 2688, 1345, 1345, 1345, 179516, 142776, 51832326
1365, 2728, 1365, 1365, 1365, 189330, 149593, 53611538
1385, 2768, 1385, 1385, 1385, 192170, 145064, 53679267
1405, 2808, 1405, 1405, 1405, 217548, 184434, 68174870
1425, 2848, 1425, 1425, 1425, 199119, 150825, 61849784
1445, 2888, 1445, 1445, 1445, 192509, 149642, 55556138
1465, 2928, 1465, 1465, 1465, 206601, 153242, 56168367
1485, 2968, 1485, 1485, 1485, 217024, 162973, 58524943
1505, 3008, 1505, 1505, 1505, 201796, 157724, 58200977
1525, 3048, 1525, 1525, 1525, 210917, 164508, 58980218
1545, 3088, 1545, 1545, 1545, 214850, 163956, 58719279
