n, m, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
200, 1, 1, 1, 1, 6188, 13992, 1065256
200, 21, 2, 2, 2, 7371, 4336, 996564
200, 41, 3, 3, 3, 12284, 5540, 1551044
200, 61, 3, 3, 4, 11927, 5713, 1682110
200, 81, 5, 5, 5, 12110, 5807, 1801401
200, 101, 5, 5, 5, 11343, 6262, 2047456
200, 121, 7, 7, 7, 16821, 6079, 2006743
200, 141, 8, 8, 8, 20103, 5871, 2076314
200, 161, 8, 8, 8, 21366, 6224, 2207883
200, 181, 8, 8, 9, 15681, 5111, 1774380
200, 201, 10, 10, 10, 26526, 4773, 1728119
200, 221, 10, 10, 10, 41096, 6544, 2136164
200, 241, 10, 10, 10, 26068, 5534, 1941898
200, 261, 12, 12, 12, 52887, 9850, 2632026
200, 281, 12, 12, 12, 45047, 7747, 2657837
200, 301, 12, 12, 13, 54095, 11103, 3179379
200, 321, 13, 13, 14, 61115, 10095, 3475926
200, 341, 15, 16, 16, 53915, 11157, 3826850
200, 361, 13, 13, 13, 61946, 11337, 3982309
200, 381, 18, 18, 18, 76128, 8937, 4239133
200, 401, 17, 17, 17, 76662, 9000, 4238291
200, 421, 19, 20, 20, 70497, 12460, 4705084
200, 441, 18, 18, 18, 54108, 9209, 5047599
200, 461, 18, 19, 19, 81686, 13289, 5715167
200, 481, 20, 22, 23, 57144, 13702, 5022692
200, 501, 21, 21, 21, 58548, 10086, 4821714
200, 521, 20, 21, 21, 92947, 16666, 5144245
200, 541, 24, 25, 25, 70028, 16679, 5479700
200, 561, 21, 21, 23, 111807, 16028, 5660626
200, 581, 21, 24, 25, 88818, 20674, 6419181
200, 601, 24, 24, 26, 126766, 17965, 7868450
200, 621, 23, 24, 26, 80527, 17547, 8196729
200, 641, 25, 25, 27, 89347, 15993, 7950762
200, 661, 25, 27, 30, 116789, 22731, 7948176
200, 681, 28, 31, 31, 133656, 16308, 8065584
200, 701, 26, 29, 32, 121536, 19781, 6898346
200, 721, 30, 30, 32, 107707, 15794, 9365814
200, 741, 31, 31, 33, 125731, 17156, 9149288
200, 761, 31, 31, 34, 127202, 17057, 10016413
200, 781, 31, 31, 33, 137890, 16986, 9009937
200, 801, 31, 35, 39, 97682, 15259, 8550054
200, 821, 30, 31, 34, 134234, 17343, 8916474
200, 841, 32, 33, 35, 159097, 24044, 11115804
200, 861, 33, 36, 36, 134708, 20880, 10577899
200, 881, 33, 35, 39, 139406, 20920, 10679779
200, 901, 32, 34, 42, 170734, 21381, 11991267
200, 921, 37, 37, 40, 162457, 18034, 9267937
200, 941, 32, 33, 40, 90014, 14047, 10694036
200, 961, 35, 41, 42, 128623, 23162, 10232350
200, 981, 36, 39, 44, 148844, 18965, 11317454
200, 1001, 35, 41, 44, 173736, 20519, 10162654
200, 1021, 37, 39, 43, 102344, 16315, 9408612
200, 1041, 39, 44, 45, 136923, 20871, 12120877
200, 1061, 42, 45, 46, 177264, 22721, 11339283
200, 1081, 39, 41, 47, 128626, 16733, 12904755
200, 1101, 41, 41, 47, 169563, 20332, 13214694
200, 1121, 38, 40, 49, 146313, 20506, 10771319
200, 1141, 45, 48, 49, 108404, 15629, 9658827
200, 1161, 41, 48, 50, 114429, 19542, 9668105
200, 1181, 42, 46, 51, 116680, 15231, 10125168
200, 1201, 51, 51, 51, 137604, 14443, 10012699
200, 1221, 44, 47, 51, 113519, 17477, 10172595
200, 1241, 42, 47, 52, 135551, 16341, 10367799
200, 1261, 47, 47, 56, 126769, 16536, 10605173
200, 1281, 44, 44, 58, 124702, 14700, 10641126
200, 1301, 50, 50, 56, 142273, 15343, 11856683
200, 1321, 41, 52, 59, 166961, 30438, 12950081
200, 1341, 48, 48, 61, 155101, 15341, 11084349
200, 1361, 47, 54, 58, 128969, 16521, 11300209
200, 1381, 49, 49, 56, 139325, 15294, 12910655
200, 1401, 49, 49, 60, 144738, 15248, 14435718
200, 1421, 49, 59, 67, 148582, 21348, 11642689
200, 1441, 55, 55, 67, 130991, 14563, 11670730
200, 1461, 51, 51, 67, 153300, 17248, 12537212
200, 1481, 54, 58, 67, 176116, 17668, 17316102
200, 1501, 59, 64, 69, 230225, 27733, 15896522
200, 1521, 62, 71, 76, 322825, 24561, 18144047
200, 1541, 55, 55, 71, 175409, 17450, 14134694
200, 1561, 50, 59, 72, 205163, 23573, 15024527
200, 1581, 61, 61, 67, 150393, 15453, 13925382
200, 1601, 62, 65, 69, 162124, 19122, 13332246
200, 1621, 55, 64, 73, 149984, 17743, 13318783
200, 1641, 58, 59, 79, 208331, 18617, 14382013
200, 1661, 55, 68, 79, 156581, 21322, 14680604
200, 1681, 59, 59, 73, 158559, 15295, 15089508
200, 1701, 59, 59, 77, 154539, 14819, 14204040
200, 1721, 71, 71, 77, 145654, 15479, 14007674
200, 1741, 74, 79, 86, 186383, 22079, 18636268
200, 1761, 69, 69, 80, 286952, 24697, 19667773
200, 1781, 70, 74, 85, 291484, 26637, 22805651
200, 1801, 70, 78, 89, 468866, 32596, 20603850
200, 1821, 72, 77, 90, 231675, 18247, 16572169
200, 1841, 67, 82, 89, 143885, 17965, 14576667
200, 1861, 66, 66, 91, 190928, 15494, 18496647
200, 1881, 74, 74, 91, 185043, 15298, 16826219
200, 1901, 74, 74, 84, 216362, 18231, 18149359
200, 1921, 75, 75, 90, 305459, 19190, 18600412
200, 1941, 77, 84, 96, 244236, 26714, 21371313
200, 1961, 69, 72, 99, 173910, 16387, 18160178
200, 1981, 78, 78, 91, 322130, 21301, 21616867
200, 2001, 75, 80, 98, 610333, 20340, 22850806
200, 2021, 76, 76, 95, 306435, 20328, 25286815
