n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
3, 3, 2, 2, 2, 2, 2839, 368, 83300
8, 28, 16, 16, 16, 16, 8310, 1017, 424326
13, 78, 42, 42, 42, 42, 12377, 874, 692762
18, 153, 81, 81, 81, 81, 21132, 1201, 1202458
23, 253, 132, 132, 132, 132, 31980, 1459, 1839546
28, 378, 196, 196, 196, 196, 47051, 1729, 2750689
33, 528, 272, 272, 272, 272, 62782, 2217, 4124845
38, 703, 361, 361, 361, 361, 100827, 2756, 6183565
43, 903, 462, 462, 462, 462, 117419, 2994, 6431289
48, 1128, 576, 576, 576, 576, 134181, 2856, 7323266
53, 1378, 702, 702, 702, 702, 161277, 3288, 8790272
58, 1653, 841, 841, 841, 841, 189134, 3508, 10826948
63, 1953, 992, 992, 992, 992, 229453, 3735, 12707911
68, 2278, 1156, 1156, 1156, 1156, 253030, 3986, 14465550
73, 2628, 1332, 1332, 1332, 1332, 279955, 4064, 16168758
78, 3003, 1521, 1521, 1521, 1521, 341976, 4556, 20145437
83, 3403, 1722, 1722, 1722, 1722, 466481, 5483, 21405575
88, 3828, 1936, 1936, 1936, 1936, 444317, 4887, 23778211
93, 4278, 2162, 2162, 2162, 2162, 469594, 5097, 26925158
98, 4753, 2401, 2401, 2401, 2401, 535610, 5796, 30299186
103, 5253, 2652, 2652, 2652, 2652, 591310, 6563, 33103266
108, 5778, 2916, 2916, 2916, 2916, 670346, 7335, 37997738
113, 6328, 3192, 3192, 3192, 3192, 845758, 6597, 42728436
118, 6903, 3481, 3481, 3481, 3481, 796844, 7437, 45484613
123, 7503, 3782, 3782, 3782, 3782, 888285, 8773, 49555937
128, 8128, 4096, 4096, 4096, 4096, 1098602, 8728, 55695867
133, 8778, 4422, 4422, 4422, 4422, 992699, 7933, 57623636
138, 9453, 4761, 4761, 4761, 4761, 1116639, 8258, 60992535
143, 10153, 5112, 5112, 5112, 5112, 1209602, 9131, 69076492
148, 10878, 5476, 5476, 5476, 5476, 1287054, 8296, 82798054
153, 11628, 5852, 5852, 5852, 5852, 1786662, 9581, 87070291
158, 12403, 6241, 6241, 6241, 6241, 1429819, 10006, 79696427
163, 13203, 6642, 6642, 6642, 6642, 1524086, 10492, 82455932
168, 14028, 7056, 7056, 7056, 7056, 1640309, 9300, 90716502
173, 14878, 7482, 7482, 7482, 7482, 1675543, 9332, 94647231
178, 15753, 7921, 7921, 7921, 7921, 1950390, 10729, 101065751
