k,frontera_hallada,frontera_maxima
3,3,4
8,8,14
13,13,24
18,18,34
23,23,44
28,28,54
33,33,64
38,38,74
43,43,84
48,48,94
53,53,104
58,58,114
63,63,124
68,68,134
73,73,144
78,78,154
83,83,164
88,88,174
93,93,184
98,98,194
103,103,204
108,108,214
113,113,224
118,118,234
123,123,244
128,128,254
133,133,264
138,138,274
143,143,284
148,148,294
153,153,304
158,158,314
163,163,324
168,168,334
173,173,344
178,178,354
183,183,364
188,188,374
193,193,384
198,198,394
203,203,404
208,208,414
213,213,424
218,218,434
223,223,444
228,228,454
233,233,464
238,238,474
243,243,484
248,248,494
253,253,504
258,258,514
263,263,524
268,268,534
273,273,544
278,278,554
283,283,564
288,288,574
293,293,584
298,298,594
303,303,604
308,308,614
313,313,624
318,318,634
323,323,644
328,328,654
333,333,664
338,338,674
343,343,684
348,348,694
353,353,704
358,358,714
363,363,724
368,368,734
373,373,744
378,378,754
383,383,764
388,388,774
393,393,784
398,398,794
403,403,804
408,408,814
413,413,824
418,418,834
423,423,844
428,428,854
433,433,864
438,438,874
443,443,884
448,448,894
453,453,904
458,458,914
463,463,924
468,468,934
473,473,944
478,478,954
483,483,964
488,488,974
493,493,984
498,498,994
503,503,1004
508,508,1014
513,513,1024
518,518,1034
523,523,1044
528,528,1054
533,533,1064
538,538,1074
543,543,1084
548,548,1094
553,553,1104
558,558,1114
563,563,1124
568,568,1134
573,573,1144
578,578,1154
583,583,1164
588,588,1174
593,593,1184
598,598,1194
603,603,1204
608,608,1214
613,613,1224
618,618,1234
623,623,1244
628,628,1254
633,633,1264
638,638,1274
643,643,1284
648,648,1294
653,653,1304
658,658,1314
663,663,1324
668,668,1334
673,673,1344
678,678,1354
683,683,1364
688,688,1374
693,693,1384
698,698,1394
703,703,1404
708,708,1414
713,713,1424
718,718,1434
723,723,1444
728,728,1454
733,733,1464
738,738,1474
743,743,1484
748,748,1494
753,753,1504
758,758,1514
763,763,1524
768,768,1534
773,773,1544
778,778,1554
783,783,1564
788,788,1574
793,793,1584
798,798,1594
803,803,1604
808,808,1614
813,813,1624
818,818,1634
823,823,1644
828,828,1654
833,833,1664
838,838,1674
843,843,1684
848,848,1694
853,853,1704
858,858,1714
863,863,1724
868,868,1734
873,873,1744
878,878,1754
883,883,1764
888,888,1774
893,893,1784
898,898,1794
903,903,1804
908,908,1814
913,913,1824
918,918,1834
923,923,1844
928,928,1854
933,933,1864
938,938,1874
943,943,1884
948,948,1894
953,953,1904
958,958,1914
963,963,1924
968,968,1934
973,973,1944
978,978,1954
983,983,1964
988,988,1974
993,993,1984
998,998,1994
1003,1003,2004
1008,1008,2014
1013,1013,2024
1018,1018,2034
1023,1023,2044
1028,1028,2054
1033,1033,2064
1038,1038,2074
1043,1043,2084
1048,1048,2094
1053,1053,2104
1058,1058,2114
1063,1063,2124
1068,1068,2134
1073,1073,2144
1078,1078,2154
1083,1083,2164
1088,1088,2174
1093,1093,2184
1098,1098,2194
1103,1103,2204
1108,1108,2214
1113,1113,2224
1118,1118,2234
1123,1123,2244
1128,1128,2254
1133,1133,2264
1138,1138,2274
1143,1143,2284
1148,1148,2294
1153,1153,2304
1158,1158,2314
1163,1163,2324
1168,1168,2334
1173,1173,2344
1178,1178,2354
1183,1183,2364
1188,1188,2374
1193,1193,2384
1198,1198,2394
1203,1203,2404
1208,1208,2414
1213,1213,2424
1218,1218,2434
1223,1223,2444
1228,1228,2454
1233,1233,2464
1238,1238,2474
1243,1243,2484
1248,1248,2494
1253,1253,2504
1258,1258,2514
1263,1263,2524
1268,1268,2534
1273,1273,2544
1278,1278,2554
1283,1283,2564
1288,1288,2574
1293,1293,2584
1298,1298,2594
1303,1303,2604
1308,1308,2614
1313,1313,2624
1318,1318,2634
1323,1323,2644
1328,1328,2654
1333,1333,2664
1338,1338,2674
1343,1343,2684
1348,1348,2694
1353,1353,2704
1358,1358,2714
1363,1363,2724
1368,1368,2734
1373,1373,2744
1378,1378,2754
1383,1383,2764
1388,1388,2774
1393,1393,2784
1398,1398,2794
1403,1403,2804
1408,1408,2814
1413,1413,2824
1418,1418,2834
1423,1423,2844
1428,1428,2854
1433,1433,2864
1438,1438,2874
1443,1443,2884
1448,1448,2894
1453,1453,2904
1458,1458,2914
1463,1463,2924
1468,1468,2934
1473,1473,2944
1478,1478,2954
1483,1483,2964
1488,1488,2974
1493,1493,2984
1498,1498,2994
1503,1503,3004
1508,1508,3014
1513,1513,3024
1518,1518,3034
1523,1523,3044
1528,1528,3054
1533,1533,3064
1538,1538,3074
1543,1543,3084
1548,1548,3094
1553,1553,3104
1558,1558,3114
1563,1563,3124
1568,1568,3134
1573,1573,3144
1578,1578,3154
1583,1583,3164
1588,1588,3174
1593,1593,3184
1598,1598,3194
1603,1603,3204
1608,1608,3214
1613,1613,3224
1618,1618,3234
1623,1623,3244
1628,1628,3254
1633,1633,3264
1638,1638,3274
1643,1643,3284
1648,1648,3294
1653,1653,3304
1658,1658,3314
1663,1663,3324
