n, m, fronteraHConstructiva, fronteraBLocal, fronteraGraspK5, fronteraGraspK25, fronteraGraspKN
50, 1225, 625, 625, 625, 625, 625
70, 1225, 144, 206, 255, 248, 250
90, 1225, 105, 127, 154, 147, 151
110, 1225, 84, 113, 112, 110, 109
130, 1225, 70, 73, 94, 93, 86
150, 1225, 65, 65, 73, 72, 73
170, 1225, 49, 57, 66, 64, 60
190, 1225, 52, 52, 55, 53, 53
210, 1225, 42, 49, 52, 52, 50
230, 1225, 40, 43, 46, 46, 44
250, 1225, 39, 42, 46, 41, 39
270, 1225, 37, 37, 39, 36, 35
290, 1225, 31, 32, 36, 34, 31
310, 1225, 31, 31, 34, 31, 29
330, 1225, 31, 31, 33, 33, 27
350, 1225, 27, 28, 28, 27, 27
370, 1225, 28, 28, 27, 25, 26
390, 1225, 27, 27, 27, 25, 23
410, 1225, 24, 24, 23, 24, 22
430, 1225, 22, 22, 23, 23, 23
450, 1225, 22, 22, 23, 22, 22
470, 1225, 24, 24, 26, 25, 23
490, 1225, 20, 20, 21, 21, 20
510, 1225, 20, 22, 23, 22, 19
530, 1225, 19, 20, 20, 19, 18
550, 1225, 18, 18, 19, 18, 19
