k,frontera_hallada,frontera_maxima
20,20,36
40,40,76
60,60,116
80,80,156
100,100,196
120,120,236
140,140,276
160,160,316
180,180,356
200,200,396
220,220,436
240,240,476
260,260,516
280,280,556
300,300,596
320,320,636
340,340,676
360,360,716
380,380,756
400,400,796
420,420,836
440,440,876
460,460,916
480,480,956
500,500,996
520,520,1036
540,540,1076
560,560,1116
580,580,1156
600,600,1196
620,620,1236
640,640,1276
660,660,1316
680,680,1356
700,700,1396
720,720,1436
740,740,1476
760,760,1516
780,780,1556
800,800,1596
820,820,1636
840,840,1676
860,860,1716
880,880,1756
900,900,1796
920,920,1836
940,940,1876
960,960,1916
980,980,1956
1000,1000,1996
