RCL, iterations, tiempoTotal, promedioAcierto
3, 1, 125470, 97.7363
3, 2, 255146, 97.611
3, 3, 377671, 99.3025
3, 4, 534296, 99.1843
3, 5, 603400, 98.3835
3, 6, 768018, 98.3389
3, 7, 929185, 99.8765
3, 8, 1010667, 99.7228
3, 9, 1151687, 99.0145
3, 10, 1247082, 99.1189
3, 11, 1437627, 99.8016
3, 12, 1494091, 99.7773
3, 13, 1674205, 99.8016
3, 14, 1743658, 99.6208
3, 15, 1907224, 99.8016
3, 16, 2074374, 99.6208
3, 17, 2199654, 99.7228
3, 18, 2274451, 99.8016
3, 19, 2371758, 99.8016
3, 20, 2600024, 99.9212
3, 21, 2767190, 99.8016
3, 22, 2895672, 99.7989
3, 23, 3034855, 99.2969
3, 24, 3205081, 99.8016
3, 25, 3149903, 99.7228
3, 26, 3231942, 99.9008
3, 27, 3429789, 100
3, 28, 3583992, 99.8016
3, 29, 3609392, 99.8016
3, 30, 3714817, 99.8016
3, 31, 4121051, 99.8016
3, 32, 4038200, 100
3, 33, 4269559, 99.7228
3, 34, 4302165, 99.8016
3, 35, 4482741, 100
3, 36, 4764258, 99.8016
3, 37, 4850145, 99.8016
3, 38, 4788985, 99.8016
3, 39, 4990713, 99.8016
3, 40, 5066828, 99.9008
3, 41, 5283871, 100
3, 42, 5314033, 99.9008
3, 43, 5387513, 99.9008
3, 44, 5672894, 99.8016
3, 45, 5777983, 99.8016
3, 46, 5829985, 99.9008
3, 47, 6013780, 99.8016
3, 48, 6058919, 99.9008
3, 49, 6253912, 100
3, 50, 6271914, 99.9008
3, 51, 6423350, 99.8016
3, 52, 6552454, 100
3, 53, 7091218, 99.9212
3, 54, 6837531, 100
3, 55, 6878306, 99.8016
3, 56, 7196475, 100
3, 57, 7661167, 99.8016
3, 58, 7194974, 99.8016
3, 59, 7730095, 100
3, 60, 7789233, 100
3, 61, 7731354, 100
3, 62, 8150642, 99.9008
3, 63, 8299065, 99.8016
3, 64, 8185710, 99.9008
3, 65, 8206627, 99.9008
3, 66, 8695147, 99.9008
3, 67, 8736606, 99.8016
3, 68, 9301209, 99.8016
3, 69, 8945852, 99.8016
3, 70, 8634191, 99.8016
3, 71, 9017475, 99.8016
3, 72, 9097559, 99.9008
3, 73, 9356958, 99.8016
3, 74, 9322722, 99.8016
3, 75, 9854620, 99.9008
3, 76, 9858472, 99.8016
3, 77, 9662595, 99.8016
3, 78, 9690517, 100
3, 79, 10031400, 99.9008
3, 80, 10382256, 99.8016
3, 81, 10358417, 99.8016
3, 82, 10338675, 99.9008
3, 83, 10494122, 99.9008
3, 84, 10578426, 100
3, 85, 11131820, 99.8016
3, 86, 10963777, 100
3, 87, 11352726, 100
3, 88, 11011098, 99.8016
3, 89, 11064459, 99.9008
3, 90, 11312946, 99.8016
3, 91, 11086376, 100
3, 92, 11260615, 99.9008
3, 93, 11229445, 99.8016
3, 94, 11450014, 100
3, 95, 11620545, 100
3, 96, 12451081, 99.9008
3, 97, 12539798, 100
3, 98, 12824266, 100
3, 99, 12763395, 100
3, 100, 12734894, 99.9008
3, 101, 12988996, 100
3, 102, 12544831, 100
3, 103, 12836502, 99.9008
3, 104, 12955094, 99.8016
3, 105, 13487683, 100
3, 106, 13577794, 100
3, 107, 13736014, 99.9008
3, 108, 13923705, 99.8016
3, 109, 13339466, 100
3, 110, 13861614, 100
3, 111, 13924617, 100
3, 112, 14201351, 100
3, 113, 14589742, 99.8016
3, 114, 14854278, 99.8016
3, 115, 15211202, 99.8016
3, 116, 14693816, 99.9008
3, 117, 14902885, 99.9008
3, 118, 14835349, 100
3, 119, 15282981, 100
3, 120, 15559939, 99.9008
3, 121, 14925855, 100
3, 122, 16261205, 100
3, 123, 15468641, 100
3, 124, 15721221, 100
3, 125, 16179243, 100
3, 126, 16091473, 100
3, 127, 16235544, 99.8016
3, 128, 16854582, 99.9008
3, 129, 16322238, 99.8016
3, 130, 16210942, 100
3, 131, 16619724, 99.8016
3, 132, 17806590, 99.9008
3, 133, 16973987, 100
3, 134, 16795094, 99.8016
3, 135, 16860219, 100
3, 136, 17220703, 100
3, 137, 17613712, 100
3, 138, 17202883, 99.9008
3, 139, 17304498, 100
3, 140, 17727134, 100
3, 141, 17936455, 99.9008
3, 142, 18805870, 99.9008
3, 143, 18023303, 99.9008
3, 144, 18633289, 99.8016
3, 145, 18167223, 100
3, 146, 18564265, 100
3, 147, 18205704, 100
3, 148, 18952223, 100
3, 149, 18142904, 99.9008
3, 150, 20054375, 100
3, 151, 19878865, 99.8016
3, 152, 19421323, 99.9008
3, 153, 18888619, 100
3, 154, 19262377, 99.9008
3, 155, 19577027, 100
3, 156, 19775333, 100
3, 157, 20020626, 100
3, 158, 19695489, 100
3, 159, 20555003, 99.8016
3, 160, 20574318, 99.8016
3, 161, 20189812, 100
3, 162, 20939362, 99.8016
3, 163, 20418528, 100
3, 164, 21223363, 99.8016
3, 165, 20615405, 100
3, 166, 21453706, 100
3, 167, 22172605, 100
3, 168, 21598406, 100
3, 169, 21142616, 100
3, 170, 21308424, 100
3, 171, 21776162, 100
3, 172, 22155973, 100
3, 173, 22077279, 99.9008
3, 174, 22162418, 99.8016
3, 175, 23041824, 100
3, 176, 22003145, 100
3, 177, 22442365, 99.9008
3, 178, 23458934, 100
3, 179, 23388936, 100
3, 180, 23300722, 99.9008
3, 181, 23180606, 100
3, 182, 23085685, 99.8016
3, 183, 23161152, 100
3, 184, 23359143, 100
3, 185, 23768275, 99.9008
3, 186, 22869328, 100
3, 187, 23701059, 100
3, 188, 24303530, 99.9008
3, 189, 24040227, 100
3, 190, 23871866, 99.9008
3, 191, 23624276, 100
3, 192, 23985791, 100
3, 193, 24580256, 99.9008
3, 194, 24704582, 100
3, 195, 23714535, 100
3, 196, 24860811, 99.8016
3, 197, 26033514, 100
3, 198, 25575051, 99.9008
3, 199, 24999056, 100
3, 200, 25676590, 100
3, 201, 25798345, 99.9008
3, 202, 26176957, 100
3, 203, 25722983, 99.9008
3, 204, 25985194, 100
3, 205, 26701370, 100
3, 206, 25994955, 100
3, 207, 26426003, 100
3, 208, 26057082, 100
3, 209, 26684810, 100
3, 210, 27398558, 100
3, 211, 27253686, 100
3, 212, 27309956, 100
3, 213, 27195870, 100
3, 214, 26695636, 100
3, 215, 27968834, 100
3, 216, 27625578, 100
3, 217, 27339078, 100
3, 218, 27819280, 100
3, 219, 27927280, 99.8016
3, 220, 28919016, 100
3, 221, 28474622, 99.9008
3, 222, 28552861, 100
3, 223, 28791662, 100
3, 224, 28591306, 100
3, 225, 28199307, 100
3, 226, 28707978, 99.9008
3, 227, 29036556, 99.9008
3, 228, 29172767, 99.9008
3, 229, 28777725, 100
3, 230, 28867709, 99.9008
3, 231, 29517191, 100
3, 232, 29568822, 99.9008
3, 233, 29346785, 100
3, 234, 29260816, 100
3, 235, 29399167, 100
3, 236, 29995036, 100
3, 237, 29578233, 99.9008
3, 238, 29732967, 100
3, 239, 31059221, 99.9008
3, 240, 30032058, 100
3, 241, 30129745, 100
3, 242, 30744495, 99.9008
3, 243, 31105797, 100
3, 244, 31451644, 99.9008
3, 245, 31867128, 99.9008
3, 246, 31719939, 100
3, 247, 31472014, 100
3, 248, 32306061, 99.8016
3, 249, 31603854, 100
3, 250, 31792144, 99.9008
3, 251, 32166445, 100
3, 252, 32335309, 100
3, 253, 31854653, 100
3, 254, 32590606, 99.9008
3, 255, 32644993, 99.9008
3, 256, 36558557, 100
3, 257, 33952372, 100
3, 258, 33777254, 99.9008
3, 259, 34320387, 100
3, 260, 33180861, 100
3, 261, 33983500, 99.9008
3, 262, 34247880, 99.8016
3, 263, 33423333, 100
3, 264, 33714176, 100
3, 265, 33920510, 99.9008
3, 266, 34550388, 100
3, 267, 33830810, 99.9008
3, 268, 37171462, 99.9008
3, 269, 34494204, 99.9008
3, 270, 34542474, 100
3, 271, 34659794, 100
3, 272, 34907319, 100
3, 273, 34719330, 100
3, 274, 35135130, 100
3, 275, 35490301, 100
3, 276, 35463092, 100
3, 277, 35171946, 100
3, 278, 34843140, 100
3, 279, 36782696, 100
3, 280, 36049406, 100
3, 281, 35893405, 99.9008
3, 282, 36803619, 99.8016
3, 283, 36333144, 100
3, 284, 36183292, 99.9008
3, 285, 36146578, 100
3, 286, 36954986, 100
3, 287, 36648548, 99.8016
3, 288, 37178152, 100
3, 289, 37623073, 100
3, 290, 36421722, 100
3, 291, 36599087, 100
3, 292, 37646708, 100
3, 293, 37903506, 100
3, 294, 38036031, 99.9008
3, 295, 37328065, 100
3, 296, 37443652, 99.9008
3, 297, 38901294, 100
3, 298, 37985483, 100
3, 299, 38486206, 100
3, 300, 38614081, 100
3, 301, 38523057, 100
3, 302, 38762796, 100
3, 303, 38331780, 100
3, 304, 38568726, 100
3, 305, 38185682, 100
3, 306, 39722446, 100
3, 307, 39160811, 100
3, 308, 39672413, 100
3, 309, 39509778, 100
3, 310, 38916481, 100
3, 311, 39728054, 99.9008
3, 312, 40098809, 100
3, 313, 40115601, 99.9008
3, 314, 40710883, 100
3, 315, 40500902, 100
3, 316, 39776737, 100
3, 317, 40730054, 99.9008
3, 318, 40538025, 100
3, 319, 42053001, 99.9008
3, 320, 41144178, 99.9008
3, 321, 41441036, 100
3, 322, 44021381, 99.8016
