n, m, RCL, iterations, tiempoTotal, promedioAciertoRandom, promedioAciertoCasoMalo, promedioAciertoTotal
50, 800, 1, 1, 164791, 83, 53, 68
50, 800, 2, 1, 165718, 88, 81, 84
50, 800, 3, 1, 165448, 86, 90, 88
50, 800, 4, 1, 166129, 85, 76, 81
50, 800, 5, 1, 165821, 89, 71, 80
50, 800, 6, 1, 168903, 86, 75, 81
50, 800, 7, 1, 164726, 88, 65, 76
50, 800, 8, 1, 164853, 85, 65, 75
50, 800, 9, 1, 164884, 84, 60, 72
50, 800, 10, 1, 165966, 85, 55, 70
50, 800, 11, 1, 167470, 85, 60, 72
50, 800, 12, 1, 167303, 82, 70, 76
50, 800, 13, 1, 165007, 84, 55, 69
50, 800, 14, 1, 163666, 77, 55, 66
50, 800, 15, 1, 170479, 81, 70, 75
50, 800, 16, 1, 165970, 83, 60, 72
50, 800, 17, 1, 168058, 83, 50, 66
50, 800, 18, 1, 167238, 81, 55, 68
50, 800, 19, 1, 165693, 80, 65, 72
50, 800, 20, 1, 164251, 77, 60, 68
50, 800, 21, 1, 171290, 82, 55, 68
50, 800, 22, 1, 164986, 77, 55, 66
50, 800, 23, 1, 167185, 80, 55, 67
50, 800, 24, 1, 166772, 82, 60, 71
50, 800, 25, 1, 167420, 81, 70, 75
50, 800, 26, 1, 163534, 76, 50, 63
50, 800, 27, 1, 164997, 77, 60, 68
50, 800, 28, 1, 166697, 79, 55, 67
50, 800, 29, 1, 162945, 81, 50, 65
50, 800, 30, 1, 165564, 85, 55, 70
50, 800, 31, 1, 165866, 79, 55, 67
50, 800, 32, 1, 163697, 80, 55, 67
50, 800, 33, 1, 165914, 77, 55, 66
50, 800, 34, 1, 167508, 82, 60, 71
50, 800, 35, 1, 173132, 78, 55, 66
50, 800, 36, 1, 174504, 81, 50, 65
50, 800, 37, 1, 217405, 73, 60, 66
50, 800, 38, 1, 228147, 81, 55, 68
50, 800, 39, 1, 219562, 78, 50, 64
50, 800, 40, 1, 198706, 77, 55, 66
50, 800, 41, 1, 179472, 79, 50, 64
50, 800, 42, 1, 178116, 79, 50, 64
50, 800, 43, 1, 174049, 76, 50, 63
50, 800, 44, 1, 183107, 78, 50, 64
50, 800, 45, 1, 180024, 81, 55, 68
50, 800, 46, 1, 180577, 80, 50, 65
50, 800, 47, 1, 170856, 80, 60, 70
50, 800, 48, 1, 171589, 84, 50, 67
50, 800, 49, 1, 165600, 82, 50, 66
50, 800, 50, 1, 172263, 78, 50, 64

