n, m, promedioAciertoBLocal, promedioAciertoHConstructiva, promedioMejoraHConstructiva
100, 1, 100, 100, 0
100, 6, 100, 100, 0
100, 11, 100, 100, 0
100, 16, 100, 100, 0
100, 21, 100, 100, 0
100, 26, 98, 98, 0
100, 31, 100, 100, 0
100, 36, 98, 98, 0
100, 41, 96, 96, 0
100, 46, 98, 98, 0
100, 51, 96, 96, 0
100, 56, 94, 94, 0
100, 61, 97, 97, 0
100, 66, 96, 96, 0
100, 71, 98, 98, 0
100, 76, 95, 95, 0
100, 81, 97, 97, 0
100, 86, 98, 98, 0
100, 91, 98, 98, 0
100, 96, 99, 99, 0
100, 101, 98, 98, 0
100, 106, 99, 99, 0
100, 111, 99, 99, 0
100, 116, 99, 99, 0
100, 121, 99, 99, 0
100, 126, 99, 99, 0
100, 131, 99, 98, 0
100, 136, 99, 99, 0
100, 141, 98, 97, 1
100, 146, 98, 98, 0
100, 151, 98, 98, 0
100, 156, 98, 97, 0
100, 161, 98, 97, 0
100, 166, 99, 98, 0
100, 171, 99, 95, 4
100, 176, 98, 98, 0
100, 181, 97, 95, 2
100, 186, 96, 94, 2
100, 191, 97, 93, 4
100, 196, 96, 94, 2
100, 201, 97, 93, 3
100, 206, 96, 95, 1
100, 211, 99, 97, 1
100, 216, 96, 91, 5
100, 221, 94, 92, 1
100, 226, 96, 92, 4
100, 231, 94, 91, 3
100, 236, 96, 92, 4
100, 241, 95, 92, 2
100, 246, 97, 93, 3
100, 251, 95, 90, 4
100, 256, 94, 90, 4
100, 261, 95, 90, 4
100, 266, 90, 87, 3
100, 271, 94, 90, 4
100, 276, 95, 91, 4
100, 281, 89, 86, 4
100, 286, 95, 90, 5
100, 291, 96, 88, 8
100, 296, 96, 90, 6
100, 301, 92, 88, 5
100, 306, 94, 85, 10
100, 311, 92, 90, 2
100, 316, 93, 87, 6
100, 321, 92, 85, 8
100, 326, 93, 87, 6
100, 331, 92, 87, 6
100, 336, 92, 88, 5
100, 341, 95, 88, 8
100, 346, 95, 86, 12
100, 351, 91, 86, 5
100, 356, 92, 86, 6
100, 361, 90, 84, 7
100, 366, 90, 85, 6
100, 371, 88, 85, 4
100, 376, 94, 89, 6
100, 381, 93, 89, 5
100, 386, 92, 86, 6
100, 391, 94, 86, 9
100, 396, 91, 87, 5
100, 401, 90, 84, 7
100, 406, 90, 84, 6
100, 411, 90, 85, 5
100, 416, 90, 87, 4
100, 421, 94, 84, 12
100, 426, 94, 84, 12
100, 431, 94, 84, 11
100, 436, 93, 87, 7
100, 441, 90, 87, 3
100, 446, 90, 81, 11
100, 451, 91, 84, 8
100, 456, 92, 82, 11
100, 461, 91, 86, 5
