k, promedioAcierto
3, 75
8, 57
13, 54
18, 52
23, 52
28, 51
33, 51
38, 51
43, 51
48, 51
53, 50
58, 50
63, 50
68, 50
73, 50
78, 50
83, 50
88, 50
93, 50
98, 50
103, 50
108, 50
113, 50
118, 50
123, 50
128, 50
133, 50
138, 50
143, 50
148, 50
153, 50
158, 50
163, 50
168, 50
173, 50
178, 50
183, 50
188, 50
193, 50
198, 50
203, 50
208, 50
213, 50
218, 50
223, 50
228, 50
233, 50
238, 50
243, 50
248, 50
253, 50
258, 50
263, 50
268, 50
273, 50
278, 50
283, 50
288, 50
293, 50
298, 50
303, 50
308, 50
313, 50
318, 50
323, 50
328, 50
333, 50
338, 50
343, 50
348, 50
353, 50
358, 50
363, 50
368, 50
373, 50
378, 50
383, 50
388, 50
393, 50
398, 50
403, 50
408, 50
413, 50
418, 50
423, 50
428, 50
433, 50
438, 50
443, 50
448, 50
453, 50
458, 50
463, 50
468, 50
473, 50
478, 50
483, 50
488, 50
493, 50
498, 50
503, 50
508, 50
513, 50
518, 50
523, 50
528, 50
533, 50
538, 50
543, 50
548, 50
553, 50
558, 50
563, 50
568, 50
573, 50
578, 50
583, 50
588, 50
593, 50
598, 50
603, 50
608, 50
613, 50
618, 50
623, 50
