n, m, RCL, iterations, promedioAcierto
100, 1, 3, 20, 100
100, 6, 3, 20, 100
100, 11, 3, 20, 100
100, 16, 3, 20, 100
100, 21, 3, 20, 100
100, 26, 3, 20, 100
100, 31, 3, 20, 100
100, 36, 3, 20, 100
100, 41, 3, 20, 100
100, 46, 3, 20, 100
100, 51, 3, 20, 100
100, 56, 3, 20, 100
100, 61, 3, 20, 100
100, 66, 3, 20, 100
100, 71, 3, 20, 100
100, 76, 3, 20, 100
100, 81, 3, 20, 100
100, 86, 3, 20, 100
100, 91, 3, 20, 100
100, 96, 3, 20, 100
100, 101, 3, 20, 100
100, 106, 3, 20, 100
100, 111, 3, 20, 100
100, 116, 3, 20, 100
100, 121, 3, 20, 100
100, 126, 3, 20, 100
100, 131, 3, 20, 100
100, 136, 3, 20, 100
100, 141, 3, 20, 100
100, 146, 3, 20, 100
100, 151, 3, 20, 100
100, 156, 3, 20, 100
100, 161, 3, 20, 100
100, 166, 3, 20, 100
100, 171, 3, 20, 100
100, 176, 3, 20, 100
100, 181, 3, 20, 100
100, 186, 3, 20, 99
100, 191, 3, 20, 100
100, 196, 3, 20, 100
100, 201, 3, 20, 100
100, 206, 3, 20, 100
100, 211, 3, 20, 100
100, 216, 3, 20, 100
100, 221, 3, 20, 99
100, 226, 3, 20, 100
100, 231, 3, 20, 100
100, 236, 3, 20, 100
100, 241, 3, 20, 99
100, 246, 3, 20, 100
100, 251, 3, 20, 100
100, 256, 3, 20, 100
100, 261, 3, 20, 100
100, 266, 3, 20, 100
100, 271, 3, 20, 100
100, 276, 3, 20, 99
100, 281, 3, 20, 100
100, 286, 3, 20, 100
100, 291, 3, 20, 100
100, 296, 3, 20, 100
100, 301, 3, 20, 100
100, 306, 3, 20, 100
100, 311, 3, 20, 100
100, 316, 3, 20, 100
100, 321, 3, 20, 100
100, 326, 3, 20, 99
100, 331, 3, 20, 100
100, 336, 3, 20, 99
100, 341, 3, 20, 99
100, 346, 3, 20, 100
100, 351, 3, 20, 99
100, 356, 3, 20, 100
100, 361, 3, 20, 99
100, 366, 3, 20, 100
100, 371, 3, 20, 100
100, 376, 3, 20, 100
100, 381, 3, 20, 100
100, 386, 3, 20, 99
100, 391, 3, 20, 100
100, 396, 3, 20, 100
100, 401, 3, 20, 99
100, 406, 3, 20, 100
100, 411, 3, 20, 100
100, 416, 3, 20, 100
100, 421, 3, 20, 100
100, 426, 3, 20, 99
100, 431, 3, 20, 99
100, 436, 3, 20, 99
100, 441, 3, 20, 99
100, 446, 3, 20, 99
100, 451, 3, 20, 99
100, 456, 3, 20, 99
100, 461, 3, 20, 99
100, 466, 3, 20, 100
100, 471, 3, 20, 99
100, 476, 3, 20, 99
100, 481, 3, 20, 99
100, 486, 3, 20, 99
100, 491, 3, 20, 99
100, 496, 3, 20, 100
100, 501, 3, 20, 97
100, 506, 3, 20, 100
100, 511, 3, 20, 99
100, 516, 3, 20, 100
100, 521, 3, 20, 98
100, 526, 3, 20, 98
100, 531, 3, 20, 100
100, 536, 3, 20, 100
100, 541, 3, 20, 98
100, 546, 3, 20, 99
100, 551, 3, 20, 100
100, 556, 3, 20, 100
100, 561, 3, 20, 99
100, 566, 3, 20, 98
100, 571, 3, 20, 99
100, 576, 3, 20, 99
100, 581, 3, 20, 98
100, 586, 3, 20, 99
100, 591, 3, 20, 99
100, 596, 3, 20, 100
100, 601, 3, 20, 99
100, 606, 3, 20, 98
100, 611, 3, 20, 99
100, 616, 3, 20, 99
100, 621, 3, 20, 99
100, 626, 3, 20, 99
100, 631, 3, 20, 97
100, 636, 3, 20, 99
100, 641, 3, 20, 99
100, 646, 3, 20, 98
100, 651, 3, 20, 99
100, 656, 3, 20, 99
100, 661, 3, 20, 98
100, 666, 3, 20, 98
100, 671, 3, 20, 97
100, 676, 3, 20, 99
100, 681, 3, 20, 99
100, 686, 3, 20, 100
100, 691, 3, 20, 98
100, 696, 3, 20, 99
100, 701, 3, 20, 98
100, 706, 3, 20, 98
100, 711, 3, 20, 99
100, 716, 3, 20, 98
100, 721, 3, 20, 97
100, 726, 3, 20, 99
100, 731, 3, 20, 99
100, 736, 3, 20, 97
100, 741, 3, 20, 99
100, 746, 3, 20, 99
100, 751, 3, 20, 99
100, 756, 3, 20, 100
100, 761, 3, 20, 97
100, 766, 3, 20, 98
100, 771, 3, 20, 99
100, 776, 3, 20, 99
100, 781, 3, 20, 97
100, 786, 3, 20, 100
100, 791, 3, 20, 99
100, 796, 3, 20, 98
100, 801, 3, 20, 99
100, 806, 3, 20, 97
100, 811, 3, 20, 97
100, 816, 3, 20, 97
100, 821, 3, 20, 97
100, 826, 3, 20, 98
100, 831, 3, 20, 98
100, 836, 3, 20, 97
100, 841, 3, 20, 99
100, 846, 3, 20, 97
100, 851, 3, 20, 98
100, 856, 3, 20, 98
100, 861, 3, 20, 97
100, 866, 3, 20, 97
100, 871, 3, 20, 98
100, 876, 3, 20, 96
100, 881, 3, 20, 98
100, 886, 3, 20, 97
100, 891, 3, 20, 96
100, 896, 3, 20, 98
100, 901, 3, 20, 97
100, 906, 3, 20, 97
100, 911, 3, 20, 97
100, 916, 3, 20, 96
100, 921, 3, 20, 97
100, 926, 3, 20, 94
100, 931, 3, 20, 98
100, 936, 3, 20, 95
100, 941, 3, 20, 97
100, 946, 3, 20, 99
100, 951, 3, 20, 96
100, 956, 3, 20, 98
100, 961, 3, 20, 98
100, 966, 3, 20, 95
100, 971, 3, 20, 98
100, 976, 3, 20, 97
100, 981, 3, 20, 97
100, 986, 3, 20, 94
100, 991, 3, 20, 98
100, 996, 3, 20, 98
100, 1001, 3, 20, 96
100, 1006, 3, 20, 99
100, 1011, 3, 20, 97
100, 1016, 3, 20, 98
100, 1021, 3, 20, 97
100, 1026, 3, 20, 95
100, 1031, 3, 20, 96
100, 1036, 3, 20, 96
100, 1041, 3, 20, 99
100, 1046, 3, 20, 94
100, 1051, 3, 20, 98
100, 1056, 3, 20, 97
100, 1061, 3, 20, 98
100, 1066, 3, 20, 95
100, 1071, 3, 20, 96
100, 1076, 3, 20, 98
100, 1081, 3, 20, 96
100, 1086, 3, 20, 99
100, 1091, 3, 20, 98
100, 1096, 3, 20, 95
100, 1101, 3, 20, 97
100, 1106, 3, 20, 99
100, 1111, 3, 20, 97
100, 1116, 3, 20, 97
100, 1121, 3, 20, 93
100, 1126, 3, 20, 99
100, 1131, 3, 20, 99
100, 1136, 3, 20, 97
100, 1141, 3, 20, 98
100, 1146, 3, 20, 95
100, 1151, 3, 20, 98
100, 1156, 3, 20, 96
100, 1161, 3, 20, 97
100, 1166, 3, 20, 97
100, 1171, 3, 20, 97
100, 1176, 3, 20, 99
100, 1181, 3, 20, 97
100, 1186, 3, 20, 97
100, 1191, 3, 20, 96
100, 1196, 3, 20, 96
100, 1201, 3, 20, 98
100, 1206, 3, 20, 95
100, 1211, 3, 20, 98
100, 1216, 3, 20, 98
100, 1221, 3, 20, 97
100, 1226, 3, 20, 98
100, 1231, 3, 20, 98
100, 1236, 3, 20, 97
100, 1241, 3, 20, 97
100, 1246, 3, 20, 97
100, 1251, 3, 20, 97
100, 1256, 3, 20, 97
100, 1261, 3, 20, 95
100, 1266, 3, 20, 96
100, 1271, 3, 20, 97
100, 1276, 3, 20, 96
100, 1281, 3, 20, 95
100, 1286, 3, 20, 97
100, 1291, 3, 20, 96
100, 1296, 3, 20, 98
100, 1301, 3, 20, 93
100, 1306, 3, 20, 96
100, 1311, 3, 20, 94
100, 1316, 3, 20, 94
100, 1321, 3, 20, 98
100, 1326, 3, 20, 97
100, 1331, 3, 20, 97
100, 1336, 3, 20, 95
100, 1341, 3, 20, 96
100, 1346, 3, 20, 97
100, 1351, 3, 20, 96
100, 1356, 3, 20, 96
100, 1361, 3, 20, 99
100, 1366, 3, 20, 97
100, 1371, 3, 20, 97
100, 1376, 3, 20, 96
100, 1381, 3, 20, 95
100, 1386, 3, 20, 96
100, 1391, 3, 20, 96
100, 1396, 3, 20, 98
100, 1401, 3, 20, 97
100, 1406, 3, 20, 95
100, 1411, 3, 20, 97
100, 1416, 3, 20, 94
100, 1421, 3, 20, 94
100, 1426, 3, 20, 93
100, 1431, 3, 20, 96
100, 1436, 3, 20, 95
100, 1441, 3, 20, 95
100, 1446, 3, 20, 95
100, 1451, 3, 20, 94
100, 1456, 3, 20, 94
100, 1461, 3, 20, 96
100, 1466, 3, 20, 92
100, 1471, 3, 20, 96
100, 1476, 3, 20, 94
100, 1481, 3, 20, 96
100, 1486, 3, 20, 96
100, 1491, 3, 20, 94
100, 1496, 3, 20, 96
100, 1501, 3, 20, 97
100, 1506, 3, 20, 95
100, 1511, 3, 20, 96
100, 1516, 3, 20, 91
100, 1521, 3, 20, 94
100, 1526, 3, 20, 97
100, 1531, 3, 20, 96
100, 1536, 3, 20, 95
100, 1541, 3, 20, 95
100, 1546, 3, 20, 95
100, 1551, 3, 20, 95
100, 1556, 3, 20, 98
100, 1561, 3, 20, 95
100, 1566, 3, 20, 93
100, 1571, 3, 20, 98
100, 1576, 3, 20, 96
100, 1581, 3, 20, 97
100, 1586, 3, 20, 97
100, 1591, 3, 20, 95
100, 1596, 3, 20, 97
100, 1601, 3, 20, 94
100, 1606, 3, 20, 96
100, 1611, 3, 20, 94
100, 1616, 3, 20, 95
100, 1621, 3, 20, 95
100, 1626, 3, 20, 94
100, 1631, 3, 20, 95
100, 1636, 3, 20, 93
100, 1641, 3, 20, 97
100, 1646, 3, 20, 92
100, 1651, 3, 20, 96
100, 1656, 3, 20, 93
100, 1661, 3, 20, 95
100, 1666, 3, 20, 96
100, 1671, 3, 20, 94
100, 1676, 3, 20, 95
100, 1681, 3, 20, 96
100, 1686, 3, 20, 94
100, 1691, 3, 20, 96
100, 1696, 3, 20, 95
100, 1701, 3, 20, 94
100, 1706, 3, 20, 98
100, 1711, 3, 20, 95
100, 1716, 3, 20, 95
100, 1721, 3, 20, 95
100, 1726, 3, 20, 93
100, 1731, 3, 20, 94
100, 1736, 3, 20, 94
100, 1741, 3, 20, 95
100, 1746, 3, 20, 92
100, 1751, 3, 20, 92
100, 1756, 3, 20, 94
100, 1761, 3, 20, 96
100, 1766, 3, 20, 95
100, 1771, 3, 20, 95
100, 1776, 3, 20, 96
100, 1781, 3, 20, 93
100, 1786, 3, 20, 95
100, 1791, 3, 20, 94
100, 1796, 3, 20, 95
100, 1801, 3, 20, 92
100, 1806, 3, 20, 94
100, 1811, 3, 20, 93
100, 1816, 3, 20, 96
100, 1821, 3, 20, 94
100, 1826, 3, 20, 93
100, 1831, 3, 20, 93
100, 1836, 3, 20, 94
100, 1841, 3, 20, 95
100, 1846, 3, 20, 91
100, 1851, 3, 20, 96
100, 1856, 3, 20, 93
100, 1861, 3, 20, 94
100, 1866, 3, 20, 94
100, 1871, 3, 20, 93
100, 1876, 3, 20, 94
100, 1881, 3, 20, 97
100, 1886, 3, 20, 96
100, 1891, 3, 20, 93
100, 1896, 3, 20, 95
100, 1901, 3, 20, 93
100, 1906, 3, 20, 93
100, 1911, 3, 20, 95
100, 1916, 3, 20, 94
100, 1921, 3, 20, 94
100, 1926, 3, 20, 91
100, 1931, 3, 20, 94
100, 1936, 3, 20, 95
100, 1941, 3, 20, 94
100, 1946, 3, 20, 96
100, 1951, 3, 20, 93
100, 1956, 3, 20, 94
100, 1961, 3, 20, 90
100, 1966, 3, 20, 96
100, 1971, 3, 20, 95
100, 1976, 3, 20, 94
100, 1981, 3, 20, 93
100, 1986, 3, 20, 91
100, 1991, 3, 20, 92
100, 1996, 3, 20, 92
100, 2001, 3, 20, 95
100, 2006, 3, 20, 94
100, 2011, 3, 20, 94
100, 2016, 3, 20, 95
100, 2021, 3, 20, 95
100, 2026, 3, 20, 95
100, 2031, 3, 20, 94
100, 2036, 3, 20, 91
100, 2041, 3, 20, 92
100, 2046, 3, 20, 94
100, 2051, 3, 20, 94
100, 2056, 3, 20, 93
100, 2061, 3, 20, 93
100, 2066, 3, 20, 93
100, 2071, 3, 20, 94
100, 2076, 3, 20, 95
100, 2081, 3, 20, 93
100, 2086, 3, 20, 94
100, 2091, 3, 20, 95
100, 2096, 3, 20, 94
100, 2101, 3, 20, 92
100, 2106, 3, 20, 92
100, 2111, 3, 20, 95
100, 2116, 3, 20, 93
100, 2121, 3, 20, 96
100, 2126, 3, 20, 91
100, 2131, 3, 20, 94
100, 2136, 3, 20, 96
100, 2141, 3, 20, 94
100, 2146, 3, 20, 96
100, 2151, 3, 20, 93
100, 2156, 3, 20, 93
100, 2161, 3, 20, 94
100, 2166, 3, 20, 92
100, 2171, 3, 20, 92
100, 2176, 3, 20, 91
100, 2181, 3, 20, 95
