n, m, promedioAcierto
130, 1, 100
130, 6, 100
130, 11, 100
130, 16, 100
130, 21, 100
130, 26, 95
130, 31, 100
130, 36, 97
130, 41, 100
130, 46, 100
130, 51, 97
130, 56, 100
130, 61, 98
130, 66, 96
130, 71, 100
130, 76, 98
130, 81, 100
130, 86, 98
130, 91, 98
130, 96, 93
130, 101, 96
130, 106, 100
130, 111, 97
130, 116, 98
130, 121, 97
130, 126, 100
130, 131, 98
130, 136, 97
130, 141, 100
130, 146, 100
130, 151, 98
130, 156, 100
130, 161, 97
130, 166, 100
130, 171, 99
130, 176, 99
130, 181, 99
130, 186, 100
130, 191, 100
130, 196, 100
130, 201, 99
130, 206, 98
130, 211, 96
130, 216, 95
130, 221, 95
130, 226, 96
130, 231, 94
130, 236, 94
130, 241, 94
130, 246, 95
130, 251, 97
130, 256, 96
130, 261, 95
130, 266, 96
130, 271, 95
130, 276, 94
130, 281, 95
130, 286, 90
130, 291, 93
130, 296, 94
130, 301, 92
130, 306, 91
130, 311, 92
130, 316, 92
130, 321, 93
130, 326, 93
130, 331, 94
130, 336, 90
130, 341, 90
130, 346, 93
130, 351, 92
130, 356, 90
130, 361, 89
130, 366, 88
130, 371, 87
130, 376, 91
130, 381, 88
130, 386, 90
130, 391, 90
130, 396, 88
130, 401, 90
130, 406, 88
130, 411, 88
130, 416, 87
130, 421, 93
130, 426, 87
130, 431, 89
130, 436, 85
130, 441, 87
130, 446, 83
130, 451, 88
130, 456, 89
130, 461, 88
130, 466, 89
130, 471, 88
130, 476, 85
130, 481, 86
130, 486, 89
130, 491, 84
130, 496, 86
130, 501, 83
130, 506, 84
130, 511, 85
130, 516, 88
130, 521, 84
130, 526, 84
130, 531, 83
130, 536, 85
130, 541, 84
130, 546, 84
130, 551, 92
130, 556, 80
130, 561, 86
130, 566, 86
130, 571, 82
130, 576, 81
130, 581, 83
130, 586, 81
130, 591, 81
130, 596, 87
130, 601, 84
130, 606, 84
130, 611, 84
130, 616, 82
130, 621, 83
130, 626, 81
130, 631, 85
130, 636, 83
130, 641, 84
130, 646, 82
130, 651, 84
130, 656, 82
130, 661, 83
130, 666, 81
130, 671, 85
130, 676, 90
130, 681, 81
130, 686, 85
130, 691, 77
130, 696, 84
130, 701, 80
130, 706, 88
130, 711, 80
130, 716, 80
130, 721, 79
130, 726, 79
130, 731, 81
130, 736, 78
130, 741, 77
130, 746, 75
130, 751, 85
130, 756, 83
130, 761, 75
130, 766, 80
130, 771, 81
130, 776, 76
130, 781, 82
130, 786, 84
130, 791, 84
130, 796, 83
130, 801, 78
130, 806, 76
130, 811, 78
130, 816, 79
130, 821, 78
130, 826, 80
130, 831, 82
130, 836, 80
130, 841, 73
130, 846, 79
130, 851, 80
130, 856, 80
130, 861, 72
130, 866, 78
130, 871, 75
130, 876, 73
130, 881, 75
130, 886, 77
130, 891, 78
130, 896, 82
130, 901, 78
130, 906, 76
130, 911, 78
130, 916, 83
130, 921, 74
130, 926, 76
130, 931, 77
130, 936, 74
130, 941, 79
130, 946, 74
130, 951, 74
130, 956, 77
130, 961, 73
130, 966, 79
130, 971, 76
130, 976, 78
130, 981, 77
130, 986, 79
130, 991, 73
130, 996, 76
130, 1001, 77
130, 1006, 77
130, 1011, 76
130, 1016, 78
130, 1021, 74
130, 1026, 74
130, 1031, 75
130, 1036, 79
130, 1041, 79
130, 1046, 71
130, 1051, 75
130, 1056, 80
130, 1061, 79
130, 1066, 74
130, 1071, 81
130, 1076, 71
130, 1081, 70
130, 1086, 82
130, 1091, 77
130, 1096, 72
130, 1101, 74
130, 1106, 77
130, 1111, 76
130, 1116, 70
130, 1121, 76
130, 1126, 75
130, 1131, 71
130, 1136, 77
130, 1141, 77
130, 1146, 74
130, 1151, 70
130, 1156, 76
130, 1161, 76
130, 1166, 78
130, 1171, 74
130, 1176, 74
130, 1181, 75
130, 1186, 70
130, 1191, 71
130, 1196, 74
130, 1201, 74
130, 1206, 72
130, 1211, 76
130, 1216, 76
130, 1221, 75
130, 1226, 68
130, 1231, 78
130, 1236, 70
130, 1241, 76
130, 1246, 77
130, 1251, 75
130, 1256, 72
130, 1261, 72
130, 1266, 76
130, 1271, 73
130, 1276, 68
130, 1281, 71
130, 1286, 72
130, 1291, 69
130, 1296, 75
130, 1301, 78
130, 1306, 75
130, 1311, 71
130, 1316, 76
130, 1321, 71
130, 1326, 71
130, 1331, 73
130, 1336, 74
130, 1341, 71
130, 1346, 70
130, 1351, 73
130, 1356, 71
130, 1361, 75
130, 1366, 72
130, 1371, 66
130, 1376, 72
130, 1381, 76
130, 1386, 71
130, 1391, 67
130, 1396, 72
130, 1401, 75
130, 1406, 71
130, 1411, 72
130, 1416, 75
130, 1421, 72
130, 1426, 72
130, 1431, 73
130, 1436, 71
130, 1441, 73
130, 1446, 69
130, 1451, 73
130, 1456, 72
130, 1461, 66
130, 1466, 74
130, 1471, 73
130, 1476, 70
130, 1481, 73
130, 1486, 68
130, 1491, 71
130, 1496, 68
130, 1501, 71
130, 1506, 68
130, 1511, 68
130, 1516, 70
130, 1521, 71
130, 1526, 68
130, 1531, 68
130, 1536, 68
130, 1541, 68
130, 1546, 73

