n, m, fronteraHConstructiva, fronteraBLocal, fronteraGraspK5, fronteraGraspK25, fronteraGraspKN
100, 1, 1, 1, 1, 1, 1
100, 6, 1, 1, 1, 1, 1
100, 11, 2, 2, 2, 2, 2
100, 16, 2, 2, 2, 2, 2
100, 21, 3, 3, 3, 3, 3
100, 26, 3, 3, 3, 3, 3
100, 31, 3, 3, 3, 3, 3
100, 36, 4, 4, 5, 5, 4
100, 41, 4, 4, 4, 4, 4
100, 46, 4, 4, 5, 5, 5
100, 51, 4, 4, 4, 4, 4
100, 56, 5, 5, 5, 5, 5
100, 61, 5, 5, 6, 6, 5
100, 66, 5, 5, 5, 5, 5
100, 71, 7, 7, 7, 7, 7
100, 76, 7, 7, 7, 7, 7
100, 81, 7, 7, 8, 8, 8
100, 86, 6, 6, 7, 7, 7
100, 91, 8, 8, 8, 8, 8
100, 96, 7, 7, 8, 8, 8
100, 101, 8, 8, 8, 8, 8
100, 106, 10, 10, 10, 10, 10
100, 111, 8, 8, 9, 9, 9
100, 116, 9, 9, 10, 10, 10
100, 121, 10, 10, 10, 10, 10
100, 126, 9, 9, 9, 9, 9
100, 131, 11, 11, 11, 11, 10
100, 136, 13, 13, 13, 13, 13
100, 141, 11, 11, 11, 11, 11
100, 146, 11, 11, 11, 11, 11
100, 151, 11, 11, 12, 12, 12
100, 156, 12, 12, 12, 12, 12
100, 161, 11, 11, 11, 11, 11
100, 166, 15, 15, 15, 15, 14
100, 171, 14, 15, 15, 15, 14
100, 176, 14, 15, 15, 15, 14
100, 181, 11, 11, 11, 12, 11
100, 186, 14, 14, 14, 14, 14
100, 191, 14, 15, 15, 15, 14
100, 196, 15, 15, 16, 17, 14
100, 201, 17, 17, 18, 17, 15
100, 206, 19, 20, 20, 19, 19
100, 211, 17, 17, 18, 18, 16
100, 216, 17, 17, 17, 16, 16
100, 221, 16, 18, 18, 18, 16
100, 226, 18, 18, 19, 18, 17
100, 231, 15, 15, 16, 15, 15
100, 236, 15, 15, 16, 16, 15
100, 241, 19, 19, 19, 19, 18
100, 246, 17, 17, 20, 19, 18
100, 251, 19, 20, 21, 19, 19
100, 256, 19, 19, 21, 21, 19
100, 261, 19, 22, 22, 21, 19
100, 266, 23, 23, 24, 24, 22
100, 271, 21, 22, 24, 23, 21
100, 276, 20, 23, 23, 21, 23
100, 281, 21, 21, 22, 20, 21
100, 286, 22, 23, 23, 21, 21
100, 291, 23, 26, 26, 26, 24
100, 296, 22, 25, 27, 27, 25
100, 301, 23, 24, 25, 24, 23
100, 306, 21, 22, 25, 23, 24
100, 311, 24, 24, 24, 24, 22
100, 316, 27, 27, 29, 28, 28
100, 321, 28, 29, 29, 29, 27
100, 326, 23, 23, 24, 24, 23
100, 331, 22, 22, 27, 25, 26
100, 336, 22, 22, 28, 28, 28
100, 341, 28, 29, 32, 32, 31
100, 346, 22, 24, 26, 25, 24
100, 351, 26, 27, 27, 29, 27
100, 356, 23, 26, 28, 26, 26
100, 361, 27, 27, 30, 28, 29
100, 366, 28, 30, 31, 31, 31
100, 371, 26, 28, 30, 28, 27
100, 376, 23, 27, 34, 31, 28
100, 381, 26, 37, 37, 33, 31
100, 386, 30, 30, 32, 31, 29
100, 391, 32, 32, 32, 32, 31
100, 396, 27, 31, 32, 31, 31
100, 401, 31, 32, 35, 32, 32
100, 406, 31, 34, 35, 32, 32
100, 411, 30, 31, 33, 33, 33
100, 416, 32, 32, 35, 35, 33
100, 421, 31, 32, 35, 32, 33
100, 426, 29, 32, 35, 35, 33
100, 431, 28, 31, 36, 35, 31
100, 436, 30, 35, 38, 37, 35
100, 441, 31, 33, 36, 37, 37
100, 446, 30, 33, 37, 34, 33
100, 451, 32, 33, 37, 37, 37
100, 456, 36, 38, 44, 43, 41
100, 461, 33, 39, 39, 39, 37
100, 466, 33, 38, 42, 41, 39
100, 471, 39, 39, 41, 40, 39
100, 476, 32, 35, 38, 37, 38
100, 481, 36, 36, 43, 43, 40
100, 486, 32, 38, 41, 41, 39
100, 491, 40, 42, 44, 41, 39
100, 496, 38, 39, 43, 43, 41
100, 501, 34, 40, 40, 40, 40
100, 506, 41, 43, 47, 43, 45
100, 511, 35, 41, 45, 43, 42
100, 516, 37, 42, 45, 44, 44
100, 521, 40, 46, 49, 48, 47
100, 526, 39, 44, 47, 48, 45
100, 531, 39, 42, 49, 49, 42
100, 536, 35, 35, 42, 43, 41
100, 541, 40, 48, 53, 46, 48
100, 546, 38, 49, 53, 50, 51
100, 551, 39, 42, 45, 44, 44
100, 556, 39, 48, 54, 51, 49
100, 561, 37, 47, 50, 48, 48
100, 566, 38, 40, 46, 48, 46
100, 571, 35, 40, 46, 46, 45
100, 576, 44, 44, 44, 44, 44
100, 581, 43, 47, 52, 50, 47
100, 586, 44, 48, 52, 49, 48
100, 591, 48, 51, 54, 54, 54
100, 596, 43, 50, 54, 54, 48
100, 601, 39, 49, 56, 49, 49
100, 606, 49, 52, 58, 54, 53
100, 611, 39, 46, 56, 53, 51
100, 616, 44, 50, 55, 52, 50
100, 621, 38, 48, 55, 52, 51
