n, m, tiempoTotal
20, 0, 3090
40, 0, 5817
60, 0, 8418
80, 0, 9252
100, 0, 8627
120, 0, 16675
140, 0, 18655
160, 0, 21066
180, 0, 26667
200, 0, 26068
220, 0, 27074
240, 0, 27583
260, 0, 31560
280, 0, 29209
300, 0, 20854
320, 0, 23424
340, 0, 30642
360, 0, 27470
380, 0, 26436
400, 0, 27098
420, 0, 29756
440, 0, 30471
460, 0, 32546
480, 0, 33576
500, 0, 34726
520, 0, 35295
540, 0, 37597
560, 0, 37634
580, 0, 40191
600, 0, 45320
620, 0, 42604
640, 0, 44300
660, 0, 47110
680, 0, 47206
700, 0, 48111
720, 0, 54396
740, 0, 51097
760, 0, 52816
780, 0, 54332
800, 0, 55426
820, 0, 56929
840, 0, 57873
860, 0, 59419
880, 0, 79337
900, 0, 66401
920, 0, 67624
940, 0, 68740
960, 0, 68177
980, 0, 71228
1000, 0, 70934
1020, 0, 86072
1040, 0, 78796
1060, 0, 81687
1080, 0, 80866
1100, 0, 85951
1120, 0, 82307
1140, 0, 81333
1160, 0, 84849
1180, 0, 82727
1200, 0, 87085
1220, 0, 94223
1240, 0, 92451
1260, 0, 88636
1280, 0, 92413
1300, 0, 100124
1320, 0, 161169
1340, 0, 112094
1360, 0, 96607
1380, 0, 96898
1400, 0, 106477
1420, 0, 150280
1440, 0, 102862
1460, 0, 105865
1480, 0, 106110
1500, 0, 109671
1520, 0, 113740
1540, 0, 110224
1560, 0, 111916
1580, 0, 111328
1600, 0, 122427
1620, 0, 146067
1640, 0, 140428
1660, 0, 119582
1680, 0, 119342
1700, 0, 130459
1720, 0, 137553
1740, 0, 148109
1760, 0, 159205
1780, 0, 144118
1800, 0, 166352
1820, 0, 173846
1840, 0, 146016
1860, 0, 169571
1880, 0, 155134
1900, 0, 152107
1920, 0, 152353
1940, 0, 143504
1960, 0, 179814
1980, 0, 159899
2000, 0, 182231
2020, 0, 163815
2040, 0, 189174
2060, 0, 294910
2080, 0, 184122
2100, 0, 153391
2120, 0, 172536
2140, 0, 202091
2160, 0, 189852
2180, 0, 197101
2200, 0, 176621
2220, 0, 193633
2240, 0, 167415
2260, 0, 174044
2280, 0, 169981
2300, 0, 191067
2320, 0, 186180
2340, 0, 228132
2360, 0, 323806
2380, 0, 436202
2400, 0, 297014
2420, 0, 377487
2440, 0, 185098
2460, 0, 198286
2480, 0, 186912
2500, 0, 194346
2520, 0, 198847
2540, 0, 232332
2560, 0, 279971
2580, 0, 255248
2600, 0, 243783
2620, 0, 351176
2640, 0, 238257
2660, 0, 199688
2680, 0, 206723
2700, 0, 213993
2720, 0, 215164
2740, 0, 220622
2760, 0, 212803
2780, 0, 235604
2800, 0, 222019
2820, 0, 212792
2840, 0, 266712
2860, 0, 230862
2880, 0, 238246
2900, 0, 226745
2920, 0, 244309
2940, 0, 245886
2960, 0, 229100
2980, 0, 260077
3000, 0, 239098
3020, 0, 247681
3040, 0, 251197
3060, 0, 249568
3080, 0, 260176
3100, 0, 250262
3120, 0, 288771
3140, 0, 335352
3160, 0, 295773
3180, 0, 292876
3200, 0, 294503
3220, 0, 456098
3240, 0, 510933
3260, 0, 419922
3280, 0, 400758
3300, 0, 374520
3320, 0, 325919
3340, 0, 387953
3360, 0, 441632
3380, 0, 269242
3400, 0, 313482
3420, 0, 355816
3440, 0, 512485
3460, 0, 280898
3480, 0, 286739
3500, 0, 282586
3520, 0, 287008
3540, 0, 288964
3560, 0, 286139
3580, 0, 288999
3600, 0, 291392
3620, 0, 302663
3640, 0, 299305
3660, 0, 300530
3680, 0, 301598
3700, 0, 307145
3720, 0, 305432
3740, 0, 305771
3760, 0, 315099
3780, 0, 322949
3800, 0, 325560
3820, 0, 599609
3840, 0, 327448
3860, 0, 343099
3880, 0, 318048
3900, 0, 350872
3920, 0, 609279
3940, 0, 338031
3960, 0, 439048
3980, 0, 347915
4000, 0, 340241
4020, 0, 345206
4040, 0, 340631
4060, 0, 352483
4080, 0, 340760
4100, 0, 342376
4120, 0, 525654
4140, 0, 373101
4160, 0, 368602

