n, m, tiempoTotal
20, 190, 4493
40, 780, 17321
60, 1770, 34200
80, 3160, 43641
100, 4950, 87696
120, 7140, 107253
140, 9730, 157698
160, 12720, 144725
180, 16110, 176366
200, 19900, 231693
220, 24090, 277868
240, 28680, 304709
260, 33670, 355979
280, 39060, 417255
300, 44850, 479993
320, 51040, 530611
340, 57630, 647631
360, 64620, 677043
380, 72010, 752552
400, 79800, 894405
420, 87990, 898554
440, 96580, 1007167
460, 105570, 1101503
480, 114960, 1195222
500, 124750, 1294866
520, 134940, 1403523
540, 145530, 1495300
560, 156520, 1628375
580, 167910, 1728812
600, 179700, 1842207
620, 191890, 1969603
640, 204480, 2122841
660, 217470, 2209452
680, 230860, 2367857
700, 244650, 2484709
720, 258840, 2620180
740, 273430, 2747700
760, 288420, 2949967
780, 303810, 3363365
800, 319600, 3261885
820, 335790, 3397603
840, 352380, 3624878
860, 369370, 3734571
880, 386760, 3898469
900, 404550, 4072970
920, 422740, 4248806
940, 441330, 4498240
960, 460320, 4691156
980, 479710, 4822296
1000, 499500, 5489552
1020, 519690, 5198628
1040, 540280, 5426321
1060, 561270, 5608513
1080, 582660, 5835393
1100, 604450, 6083984
1120, 626640, 6277655
1140, 649230, 6652812
1160, 672220, 8138951
1180, 695610, 7219116
1200, 719400, 7370631
1220, 743590, 7834576
1240, 768180, 8150484
1260, 793170, 8486077
1280, 818560, 8495086
1300, 844350, 8464638
1320, 870540, 8822667
1340, 897130, 8914285
1360, 924120, 9258786
1380, 951510, 9580110
1400, 979300, 9794327
1420, 1007490, 10245888
1440, 1036080, 10500045
1460, 1065070, 10910752
1480, 1094460, 10958616
1500, 1124250, 11464947
1520, 1154440, 11729656
1540, 1185030, 12012144
1560, 1216020, 13326025
1580, 1247410, 12559746
1600, 1279200, 12923423
1620, 1311390, 13324459
1640, 1343980, 15161203
1660, 1376970, 13726744
1680, 1410360, 14078875
1700, 1444150, 14552433
1720, 1478340, 14695839
1740, 1512930, 15286128
1760, 1547920, 15368336
1780, 1583310, 15877897
1800, 1619100, 16116233
1820, 1655290, 16451177
1840, 1691880, 16962751
1860, 1728870, 17311326
1880, 1766260, 17538262
1900, 1804050, 17990555
1920, 1842240, 18378376
1940, 1880830, 18660503
1960, 1919820, 19462622
1980, 1959210, 19387228
2000, 1999000, 20090425
2020, 2039190, 20224463
2040, 2079780, 21466663
2060, 2120770, 21639314
2080, 2162160, 21503547
2100, 2203950, 21940392
2120, 2246140, 22355226
2140, 2288730, 22689475
2160, 2331720, 23432166
2180, 2375110, 24070838
2200, 2418900, 23997892
2220, 2463090, 26425167
2240, 2507680, 24972679
2260, 2552670, 25323151
2280, 2598060, 25963135
2300, 2643850, 27311242

