n, m, tiempoTotal
20, 190, 579
50, 190, 3459
80, 190, 4018
110, 190, 3907
140, 190, 3795
170, 190, 3842
200, 190, 3938
230, 190, 5481
260, 190, 7056
290, 190, 6318
320, 190, 7451
350, 190, 7151
380, 190, 8565
410, 190, 10039
440, 190, 6934
470, 190, 8299
500, 190, 10261
530, 190, 11830
560, 190, 9411
590, 190, 10120
620, 190, 12266
650, 190, 15759
680, 190, 13231
710, 190, 13515
740, 190, 13024
770, 190, 14675
800, 190, 13938
830, 190, 13652
860, 190, 15591
890, 190, 14824
920, 190, 15182
950, 190, 15704
980, 190, 17113
1010, 190, 17390
1040, 190, 16708
1070, 190, 17056
1100, 190, 18357
1130, 190, 19612
1160, 190, 19218
1190, 190, 20543
1220, 190, 21780
1250, 190, 25279
1280, 190, 23118
1310, 190, 25012
1340, 190, 21615
1370, 190, 26411
1400, 190, 25913
1430, 190, 22398
1460, 190, 22917
1490, 190, 41052
1520, 190, 26017
1550, 190, 28977
1580, 190, 62224
1610, 190, 30822
1640, 190, 29223
1670, 190, 35218
1700, 190, 27339
1730, 190, 34121
1760, 190, 32113
1790, 190, 32844
1820, 190, 33837
1850, 190, 31324
1880, 190, 31789
1910, 190, 32616
1940, 190, 33442
1970, 190, 30204
2000, 190, 30918
2030, 190, 33255
2060, 190, 31709
2090, 190, 35067
2120, 190, 32780
2150, 190, 39220
2180, 190, 36269
2210, 190, 34373
2240, 190, 34336
2270, 190, 37714
2300, 190, 35591
2330, 190, 35708
2360, 190, 36336
2390, 190, 38693
2420, 190, 39260
2450, 190, 38403
2480, 190, 38297
2510, 190, 40816
2540, 190, 127632
2570, 190, 39617
2600, 190, 40131
2630, 190, 40298
2660, 190, 46381
2690, 190, 41195
2720, 190, 43328
2750, 190, 42092
2780, 190, 42773
2810, 190, 42931
2840, 190, 43335
2870, 190, 46805
2900, 190, 44730
2930, 190, 47019
2960, 190, 45222
2990, 190, 49429
3020, 190, 51181
3050, 190, 46939
3080, 190, 49668
3110, 190, 47775
3140, 190, 49048
3170, 190, 64242
3200, 190, 52583
3230, 190, 49618
3260, 190, 52518
3290, 190, 50624
3320, 190, 53894
3350, 190, 58588
3380, 190, 51630
3410, 190, 52007
3440, 190, 52928
3470, 190, 53170
3500, 190, 53902
3530, 190, 53871
3560, 190, 54357
3590, 190, 54850
3620, 190, 60742
3650, 190, 69846
3680, 190, 56178
3710, 190, 57756
3740, 190, 56918
3770, 190, 57480
3800, 190, 59544
3830, 190, 60146
3860, 190, 58898
3890, 190, 63791
3920, 190, 61288
3950, 190, 61933
3980, 190, 64920
4010, 190, 60940
4040, 190, 63263
4070, 190, 61973
4100, 190, 68784
4130, 190, 62848
4160, 190, 66748
4190, 190, 68823
4220, 190, 64260
4250, 190, 65492
4280, 190, 72359
4310, 190, 69287
4340, 190, 87105
4370, 190, 113416
4400, 190, 69346
4430, 190, 90857
4460, 190, 68676
4490, 190, 69014
4520, 190, 68879
4550, 190, 75686
4580, 190, 70178
4610, 190, 70360
4640, 190, 70675
4670, 190, 73224
4700, 190, 71519
4730, 190, 72135
4760, 190, 74534
4790, 190, 74707
4820, 190, 76058
4850, 190, 73790
4880, 190, 76312
4910, 190, 75198
4940, 190, 75692
4970, 190, 76179
5000, 190, 76015
5030, 190, 76503
5060, 190, 79796
5090, 190, 83229
5120, 190, 78307
5150, 190, 78837
5180, 190, 105294
5210, 190, 83913
5240, 190, 79723
5270, 190, 80130
5300, 190, 80554
5330, 190, 84878
5360, 190, 81594
5390, 190, 84798
5420, 190, 86399
5450, 190, 82922
5480, 190, 83758
5510, 190, 84657
5540, 190, 84189
5570, 190, 88904
5600, 190, 86874
5630, 190, 87505
5660, 190, 88137
5690, 190, 86852
5720, 190, 87468
5750, 190, 91210
5780, 190, 88169
5810, 190, 88252
5840, 190, 91379
5870, 190, 89252
5900, 190, 89733
5930, 190, 96193
5960, 190, 91935
5990, 190, 91544
6020, 190, 93043
6050, 190, 91905
6080, 190, 104573
6110, 190, 93528
6140, 190, 93848
6170, 190, 93621
6200, 190, 95405
6230, 190, 95148
6260, 190, 99596
6290, 190, 102964
6320, 190, 96106
6350, 190, 97428
6380, 190, 100180
6410, 190, 97401
6440, 190, 97903
6470, 190, 99515
6500, 190, 98701
6530, 190, 99146
6560, 190, 131533
6590, 190, 109819
6620, 190, 101094
6650, 190, 101750
6680, 190, 103247
6710, 190, 104132
6740, 190, 102335
6770, 190, 102826
6800, 190, 105120
6830, 190, 115166
6860, 190, 128899
6890, 190, 107547
6920, 190, 108793
6950, 190, 116774
