n, m, tiempoTotal
30, 0, 411844
30, 1, 274450
30, 2, 345005
30, 3, 375766
30, 4, 282616
30, 5, 474015
30, 6, 314917
30, 7, 370882
30, 8, 438894
30, 9, 643056
30, 10, 402734
30, 11, 522985
30, 12, 361318
30, 13, 377543
30, 14, 382983
30, 15, 387673
30, 16, 405629
30, 17, 401763
30, 18, 444315
30, 19, 440073
30, 20, 428543
30, 21, 425243
30, 22, 427840
30, 23, 498789
30, 24, 510294
30, 25, 479932
30, 26, 493311
30, 27, 494419
30, 28, 559569
30, 29, 684667
30, 30, 532658
30, 31, 532684
30, 32, 515584
30, 33, 522260
30, 34, 573074
30, 35, 559260
30, 36, 689970
30, 37, 625293
30, 38, 616253
30, 39, 653970
30, 40, 1468344
30, 41, 1029270
30, 42, 2937337
30, 43, 1020171
30, 44, 1069403
30, 45, 2566232
30, 46, 741701
30, 47, 797224
30, 48, 820922
30, 49, 985631
30, 50, 949967
30, 51, 1054304
30, 52, 1234090
30, 53, 1234524
30, 54, 1009295
30, 55, 1203359
30, 56, 1277769
30, 57, 1399092
30, 58, 1260243
30, 59, 1417659
30, 60, 942616
30, 61, 940799
30, 62, 1259053
30, 63, 1047110
30, 64, 1547553
30, 65, 1390192
30, 66, 1228153
30, 67, 1259893
30, 68, 1539481
30, 69, 1547792
30, 70, 1634779
30, 71, 1178169
30, 72, 1567219
30, 73, 1610123
30, 74, 1723070
30, 75, 1870634
30, 76, 1629021
30, 77, 1721984
30, 78, 1754452
30, 79, 1735717
30, 80, 1713853
30, 81, 1777671
30, 82, 1790653
30, 83, 1796961
30, 84, 2051273
30, 85, 1972363
30, 86, 2212531
30, 87, 1702978
30, 88, 1716193
30, 89, 2093949
30, 90, 2053861
30, 91, 1723973
30, 92, 1369744
30, 93, 1442551
30, 94, 1475614
30, 95, 1518799
30, 96, 1415134
30, 97, 1642211
30, 98, 2139025
30, 99, 2539509
30, 100, 2409604
30, 101, 2282920
30, 102, 2511445
30, 103, 2577550
30, 104, 2693583
30, 105, 2703674
30, 106, 2856725
30, 107, 2598102
30, 108, 3613744
30, 109, 2651547
30, 110, 1875910
30, 111, 2796491
30, 112, 2378956
30, 113, 2271315
30, 114, 3379931
30, 115, 3209355
30, 116, 2954459
30, 117, 3513796
30, 118, 3763394
30, 119, 3511464
30, 120, 2822364
30, 121, 2761878
30, 122, 2225219
30, 123, 3164594
30, 124, 2313405
30, 125, 2980561
30, 126, 2381110
30, 127, 3605917
30, 128, 2754348
30, 129, 3329624
30, 130, 2790770
30, 131, 3048937
30, 132, 2631537
30, 133, 4431439
30, 134, 6052126
30, 135, 4124040
30, 136, 3225553
30, 137, 2706156
30, 138, 2959987
30, 139, 3164636
30, 140, 3412276
30, 141, 4715969
30, 142, 5250968
30, 143, 5044556
30, 144, 5487092
30, 145, 4562920
30, 146, 5221792
30, 147, 4788980
30, 148, 5767164
30, 149, 4823934
30, 150, 3592843
30, 151, 3270911
30, 152, 4355632
30, 153, 5691477
30, 154, 5735315
30, 155, 4780319
30, 156, 4336675
30, 157, 4546956
30, 158, 3893292
30, 159, 5019105
30, 160, 4051510
30, 161, 4211141
30, 162, 5314377
30, 163, 4050892
30, 164, 4451627
30, 165, 5055194
30, 166, 4290443
30, 167, 4655157
30, 168, 5027960
30, 169, 5682023
30, 170, 6264078
30, 171, 5981910
30, 172, 6167104
30, 173, 6427061
30, 174, 5601105
30, 175, 7473246
30, 176, 6865192
30, 177, 5615144
30, 178, 5670891
30, 179, 5580124
30, 180, 5348327
30, 181, 6352907
30, 182, 6228949
30, 183, 6450125
30, 184, 5589397
30, 185, 6172487
30, 186, 6529178
30, 187, 6977977
30, 188, 5749628
30, 189, 6519903
30, 190, 6721079
30, 191, 5927088
30, 192, 6629316
30, 193, 7230431
30, 194, 6406976
30, 195, 7411477
30, 196, 7205232
30, 197, 7112621
30, 198, 7473633
30, 199, 7881709
30, 200, 7944039
30, 201, 8924786
30, 202, 9125491
30, 203, 8996396
30, 204, 9377216
30, 205, 9594834
30, 206, 10035173
30, 207, 9462561
30, 208, 10014373
30, 209, 9583598
30, 210, 9416341
