n, m, tiempoTotal
1, 0, 2274
2, 0, 3370
3, 0, 5709
4, 0, 8959
5, 0, 13354
6, 0, 18503
7, 0, 26329
8, 0, 33859
9, 0, 41110
10, 0, 52710
11, 0, 64364
12, 0, 74142
13, 0, 81072
14, 0, 69332
15, 0, 71027
16, 0, 89721
17, 0, 85459
18, 0, 95217
19, 0, 119210
20, 0, 136888
21, 0, 131903
22, 0, 138395
23, 0, 151222
24, 0, 163542
25, 0, 177236
26, 0, 192475
27, 0, 240162
28, 0, 260701
29, 0, 235752
30, 0, 250835
31, 0, 276138
32, 0, 417970
33, 0, 325175
34, 0, 327149
35, 0, 341964
36, 0, 370245
37, 0, 383539
38, 0, 395730
39, 0, 446105
40, 0, 452739
41, 0, 566199
42, 0, 481819
43, 0, 515341
44, 0, 527792
45, 0, 599114
46, 0, 870307
47, 0, 907197
48, 0, 964937
49, 0, 1097446
50, 0, 1231814
51, 0, 1187051
52, 0, 974936
53, 0, 1219309
54, 0, 1211126
55, 0, 1223213
56, 0, 1419369
57, 0, 1493554
58, 0, 1500383
59, 0, 1601561
60, 0, 1651975
61, 0, 1580514
62, 0, 1178976
63, 0, 1712506
64, 0, 1704189
65, 0, 1885234
66, 0, 1882768
67, 0, 1979354
68, 0, 1959158
69, 0, 2048258
70, 0, 2143492
71, 0, 2276300
72, 0, 2276347
73, 0, 2374711
74, 0, 2321840
75, 0, 2444999
76, 0, 2488727
77, 0, 2525640
78, 0, 2665955
79, 0, 2730410
80, 0, 2749836
81, 0, 2894608
82, 0, 2611544
83, 0, 2997030
84, 0, 3131598
85, 0, 3156779
86, 0, 2823806
87, 0, 3146928
88, 0, 3467772
89, 0, 3570672
90, 0, 3673944
91, 0, 3723641
92, 0, 3907614
93, 0, 3893797
94, 0, 4043522
95, 0, 3935235
96, 0, 2903169
97, 0, 2544480
98, 0, 2613762
99, 0, 2628408
100, 0, 2689930
101, 0, 2709518
102, 0, 2715795
103, 0, 2830810
104, 0, 2793604
105, 0, 2855350
106, 0, 2898926
107, 0, 2940014
108, 0, 3059517
109, 0, 3301165
110, 0, 3256125
111, 0, 3634611
112, 0, 3579618
113, 0, 3687811
114, 0, 3772761
115, 0, 3770339
116, 0, 3825740
117, 0, 3782129
118, 0, 4265846
119, 0, 3814193
120, 0, 3947939
121, 0, 4022143
122, 0, 3973782
123, 0, 4032792
124, 0, 5673713
125, 0, 4519632
126, 0, 4424803
127, 0, 4444494
128, 0, 4515245
129, 0, 5458852
130, 0, 4872949
131, 0, 4923077
132, 0, 5437887
133, 0, 4948383
134, 0, 4669784
135, 0, 4670695
136, 0, 4781003
137, 0, 5098636
138, 0, 5171340
139, 0, 5237319
140, 0, 5289798
141, 0, 5466155
142, 0, 5439402
143, 0, 5493343
144, 0, 5344134
145, 0, 5398370
146, 0, 5461356
147, 0, 5810038
148, 0, 5995459
149, 0, 6059231
150, 0, 6115727
151, 0, 6122936
152, 0, 6318802
153, 0, 6261291
154, 0, 6056225
155, 0, 6312354
156, 0, 6207341
157, 0, 9458704
158, 0, 10700024
159, 0, 10706975
160, 0, 6940661
161, 0, 6869169
162, 0, 6920461
163, 0, 7106189
164, 0, 7136783
165, 0, 7665762
166, 0, 7424413
167, 0, 7600660
168, 0, 7694153
169, 0, 7726691
170, 0, 8609514
171, 0, 7572063
172, 0, 7609741
173, 0, 7965020
174, 0, 8172986
175, 0, 9936433
176, 0, 9149581
177, 0, 8428121
178, 0, 8331829
179, 0, 8611253
180, 0, 10302520
181, 0, 13167253
182, 0, 9163166
183, 0, 9022771
184, 0, 8990216
185, 0, 9121012
186, 0, 10369391
187, 0, 13064468
188, 0, 9745534
189, 0, 9709928
190, 0, 9624960
191, 0, 9389824
192, 0, 9809648
193, 0, 10603812
194, 0, 10102723
195, 0, 10225485
196, 0, 9877395
197, 0, 9941356
198, 0, 10375441
199, 0, 10688612
200, 0, 10661458
201, 0, 10758273
202, 0, 10457707
203, 0, 10898586
204, 0, 11233185
205, 0, 11396723
206, 0, 11362749
207, 0, 11018950
208, 0, 11248395
209, 0, 11361629
210, 0, 11920067
211, 0, 11846476
212, 0, 11816907
213, 0, 11615440
214, 0, 11878031
215, 0, 12095015
216, 0, 13489766
217, 0, 12925561
218, 0, 12185854
219, 0, 12457484
220, 0, 13468947
221, 0, 12768062
222, 0, 13308795
223, 0, 12978171
224, 0, 13008623
225, 0, 13359439
226, 0, 13256283
227, 0, 14094930
228, 0, 13443890
229, 0, 13543163
230, 0, 14123278
231, 0, 14626808
232, 0, 13849230
233, 0, 14002566
234, 0, 14121324
235, 0, 14781180
236, 0, 14757213
237, 0, 14848330
238, 0, 14655546
239, 0, 14888070
240, 0, 15083429
241, 0, 15128138
242, 0, 15090792
243, 0, 15341643
244, 0, 15570904
245, 0, 15566974
246, 0, 15604100
247, 0, 16581691
248, 0, 17499376
249, 0, 16053816
250, 0, 16070209
251, 0, 16561433
252, 0, 16590575
253, 0, 16459655
254, 0, 16572672
255, 0, 18506347
256, 0, 17202876
257, 0, 17011406
258, 0, 17058003
259, 0, 17673062
260, 0, 17549858
261, 0, 17583454
262, 0, 17640792
263, 0, 20413635
264, 0, 18732406
265, 0, 18421255
266, 0, 18243319
267, 0, 18785484
268, 0, 18690283
269, 0, 18548831
270, 0, 18708186
271, 0, 19401714
272, 0, 19224199
273, 0, 19398228
274, 0, 19366668
275, 0, 20237457
276, 0, 19704245
277, 0, 20771201
278, 0, 21320465
279, 0, 21031452
280, 0, 20216296
281, 0, 21277260
282, 0, 21188621
283, 0, 20812683
284, 0, 21700351
285, 0, 21824136
286, 0, 21265860
287, 0, 22091883
288, 0, 21584202
289, 0, 21691140
290, 0, 21962501
291, 0, 22111125
292, 0, 22297599
293, 0, 22682150
294, 0, 22375070
295, 0, 22347898
296, 0, 23101887
297, 0, 22703102
298, 0, 22854148
299, 0, 23318217
300, 0, 23155311
301, 0, 23295284
302, 0, 23753714
303, 0, 23657401
304, 0, 23891659
305, 0, 24201074
306, 0, 24110809
307, 0, 24224010
308, 0, 25143646
309, 0, 24658100
310, 0, 25029446
311, 0, 25828846
312, 0, 25175921
313, 0, 25388639
314, 0, 26267287
315, 0, 25640595
316, 0, 26211609
317, 0, 26270070
318, 0, 25889306
319, 0, 26121384
320, 0, 26641396
321, 0, 26564981
322, 0, 26554313
323, 0, 27123995
324, 0, 26945629
325, 0, 27071413
326, 0, 27599435
327, 0, 27706893
328, 0, 27580421
329, 0, 28206836
330, 0, 27908016
331, 0, 28004380
332, 0, 28852814
333, 0, 28556950
334, 0, 28610703
335, 0, 29171961
336, 0, 29157414
337, 0, 30153733
338, 0, 29564373
339, 0, 29585294
340, 0, 29798516
341, 0, 29975219
342, 0, 30445367
343, 0, 30628096
344, 0, 30622457
345, 0, 31303295
346, 0, 31508922
347, 0, 31062261
348, 0, 31126794
349, 0, 31487640
350, 0, 31467929
351, 0, 31923548
352, 0, 31716159
353, 0, 32070018
354, 0, 32062700
355, 0, 32515477
356, 0, 32850390
357, 0, 32855902
358, 0, 32883923
359, 0, 33265174
360, 0, 33447062
361, 0, 33750760
362, 0, 33684685
363, 0, 34146533
364, 0, 34903176
365, 0, 34450838
366, 0, 34533119
367, 0, 34799192
368, 0, 34914349
369, 0, 35458665
370, 0, 35280735
371, 0, 35712375
372, 0, 36262052
373, 0, 36151639
374, 0, 35988324
375, 0, 36448608
376, 0, 36429180
377, 0, 36968896
378, 0, 36761337
379, 0, 37280197
380, 0, 37541384
381, 0, 37635234
382, 0, 37554682
383, 0, 37885406
384, 0, 38099467
385, 0, 38298388
386, 0, 38222068
387, 0, 38779392
388, 0, 39536976
389, 0, 39076738
390, 0, 38968541
391, 0, 39484344
392, 0, 39491421
393, 0, 39879066
394, 0, 39805863
395, 0, 40361852
396, 0, 40297937
397, 0, 40546759
398, 0, 40626708
399, 0, 41125253
400, 0, 41129273
401, 0, 41415333
402, 0, 42056451
403, 0, 41896433
404, 0, 41842889
405, 0, 42206217
406, 0, 42313050
407, 0, 42630027
408, 0, 42798779
409, 0, 43290731
410, 0, 43179296
411, 0, 43567087
412, 0, 43698803
413, 0, 43946281
414, 0, 43896285
415, 0, 44357767
416, 0, 44528971
417, 0, 44890347
418, 0, 45035022
419, 0, 45220164
420, 0, 45081649
421, 0, 45528863
422, 0, 45980001
423, 0, 46100297
424, 0, 46133960
425, 0, 46508501
426, 0, 46507461
427, 0, 46756492
428, 0, 47086760
429, 0, 47656779
430, 0, 47537964
431, 0, 47921159
432, 0, 48043447
433, 0, 49230026
434, 0, 49889588
435, 0, 49681927
436, 0, 49524232
437, 0, 49898965
438, 0, 51985446
439, 0, 51108129
440, 0, 51918745
441, 0, 50511669
442, 0, 49989680
443, 0, 50472116
444, 0, 51436786
445, 0, 52135872
446, 0, 52244748
447, 0, 52310132
448, 0, 52236022
449, 0, 52573928
450, 0, 52487992
451, 0, 53067443
452, 0, 52620394
453, 0, 52917587
454, 0, 53056542
455, 0, 53353748
456, 0, 53580631
457, 0, 54560052
458, 0, 57684916
459, 0, 61198791
460, 0, 56503413
461, 0, 56197561
462, 0, 57463072
463, 0, 56573584
464, 0, 56461828
465, 0, 57541185
466, 0, 57049966
467, 0, 64266183
468, 0, 70638792
469, 0, 58628036
470, 0, 58277828
471, 0, 58967747
472, 0, 58359510
