n, m, tiempoTotal
1, 0, 2035
2, 0, 2844
3, 0, 4557
4, 0, 7047
5, 0, 10018
6, 0, 14014
7, 0, 19399
8, 0, 22626
9, 0, 28347
10, 0, 33653
11, 0, 39630
12, 0, 47468
13, 0, 54293
14, 0, 69047
15, 0, 77202
16, 0, 82669
17, 0, 124336
18, 0, 145940
19, 0, 153790
20, 0, 163899
21, 0, 191267
22, 0, 217057
23, 0, 241504
24, 0, 268191
25, 0, 289636
26, 0, 290442
27, 0, 294094
28, 0, 307354
29, 0, 358979
30, 0, 378508
31, 0, 380005
32, 0, 383241
33, 0, 448033
34, 0, 486211
35, 0, 535844
36, 0, 1114159
37, 0, 609618
38, 0, 634165
39, 0, 633762
40, 0, 679975
41, 0, 654694
42, 0, 531634
43, 0, 645565
44, 0, 731647
45, 0, 934986
46, 0, 899187
47, 0, 1022459
48, 0, 727685
49, 0, 680821
50, 0, 945832
51, 0, 1084754
52, 0, 1144225
53, 0, 1230856
54, 0, 1230840
55, 0, 1158933
56, 0, 2418623
57, 0, 906236
58, 0, 1113718
59, 0, 1229881
60, 0, 1155744
61, 0, 1141524
62, 0, 1347376
63, 0, 1087753
64, 0, 1125251
65, 0, 1162601
66, 0, 1506343
67, 0, 1633806
68, 0, 1340720
69, 0, 1558300
70, 0, 1671243
71, 0, 1459473
72, 0, 1647019
73, 0, 1467201
74, 0, 1518083
75, 0, 1958988
76, 0, 1584946
77, 0, 1778851
78, 0, 2010848
79, 0, 1746620
80, 0, 2122910
81, 0, 1787253
82, 0, 2061472
83, 0, 2190829
84, 0, 2102788
85, 0, 2099214
86, 0, 2067073
87, 0, 2443715
88, 0, 2137767
89, 0, 2288821
90, 0, 2213668
91, 0, 2370556
92, 0, 2276591
93, 0, 2688515
94, 0, 2479366
95, 0, 3161798
96, 0, 2719434
97, 0, 2773735
98, 0, 3106584
99, 0, 3093266
100, 0, 2786612
101, 0, 2879923
102, 0, 3043124
103, 0, 2877116
104, 0, 3558463
105, 0, 3068698
106, 0, 3125535
107, 0, 3409475
108, 0, 3749910
109, 0, 3551532
110, 0, 3343371
111, 0, 3398545
112, 0, 3931631
113, 0, 3708985
114, 0, 3543848
115, 0, 3675091
116, 0, 3850290
117, 0, 4062062
118, 0, 4211772
119, 0, 4316093
120, 0, 4103159
121, 0, 4673582
122, 0, 4202389
123, 0, 4219338
124, 0, 4249212
125, 0, 4246208
126, 0, 4719840
127, 0, 4551421
128, 0, 4535491
129, 0, 4945708
130, 0, 4596361
131, 0, 5322509
132, 0, 5136333
133, 0, 5162627
134, 0, 5262999
135, 0, 5165920
136, 0, 5060282
137, 0, 5421803
138, 0, 5257076
139, 0, 5775058
140, 0, 5917864
141, 0, 7421138
142, 0, 6201480
143, 0, 6130046
144, 0, 6527178
145, 0, 5604363
146, 0, 5916393
147, 0, 6030262
148, 0, 5873201
149, 0, 6463065
150, 0, 6644553
151, 0, 6744479
152, 0, 7200892
153, 0, 6794193
154, 0, 6726984
155, 0, 7238591
156, 0, 6433433
