n, m, RCL, iterations, tiempoTotal
200, 0, 3, 20, 1672342
200, 30, 3, 20, 1538764
200, 60, 3, 20, 1615183
200, 90, 3, 20, 1657762
200, 120, 3, 20, 1739149
200, 150, 3, 20, 3006437
200, 180, 3, 20, 3292289
200, 210, 3, 20, 2117924
200, 240, 3, 20, 2249842
200, 270, 3, 20, 2600454
200, 300, 3, 20, 2662292
200, 330, 3, 20, 3081843
200, 360, 3, 20, 3522543
200, 390, 3, 20, 4057201
200, 420, 3, 20, 4361572
200, 450, 3, 20, 4730663
200, 480, 3, 20, 5631826
200, 510, 3, 20, 5944173
200, 540, 3, 20, 6028406
200, 570, 3, 20, 6888669
200, 600, 3, 20, 7029477
200, 630, 3, 20, 7702680
200, 660, 3, 20, 7902141
200, 690, 3, 20, 8451291
200, 720, 3, 20, 8315805
200, 750, 3, 20, 8432068
200, 780, 3, 20, 10236019
200, 810, 3, 20, 10253577
200, 840, 3, 20, 10483962
200, 870, 3, 20, 10974826
200, 900, 3, 20, 11329882
200, 930, 3, 20, 11366973
200, 960, 3, 20, 11734399
200, 990, 3, 20, 11190229
200, 1020, 3, 20, 12208818
200, 1050, 3, 20, 12373106
200, 1080, 3, 20, 12522585
200, 1110, 3, 20, 13048162
200, 1140, 3, 20, 15231283
200, 1170, 3, 20, 13898616
200, 1200, 3, 20, 14830101
200, 1230, 3, 20, 14419329
200, 1260, 3, 20, 15338448
200, 1290, 3, 20, 15932201
200, 1320, 3, 20, 16649913
200, 1350, 3, 20, 16175783
200, 1380, 3, 20, 15641563
200, 1410, 3, 20, 16592874
200, 1440, 3, 20, 17266902
200, 1470, 3, 20, 20133606
200, 1500, 3, 20, 17951331
200, 1530, 3, 20, 18711146
200, 1560, 3, 20, 19551490
200, 1590, 3, 20, 20264219
