n, m, RCL, iterations, tiempoTotal
1, 0, 3, 20, 36528
31, 0, 3, 20, 207710
61, 0, 3, 20, 441809
91, 0, 3, 20, 795705
121, 0, 3, 20, 1018010
151, 0, 3, 20, 1568457
181, 0, 3, 20, 1863253
211, 0, 3, 20, 2146030
241, 0, 3, 20, 2329850
271, 0, 3, 20, 3115338
301, 0, 3, 20, 3360550
331, 0, 3, 20, 3688215
361, 0, 3, 20, 4142355
391, 0, 3, 20, 4397991
421, 0, 3, 20, 4748959
451, 0, 3, 20, 5058210
481, 0, 3, 20, 5505985
511, 0, 3, 20, 5683774
541, 0, 3, 20, 6716250
571, 0, 3, 20, 7418030
601, 0, 3, 20, 7201344
631, 0, 3, 20, 5997167
661, 0, 3, 20, 7525875
691, 0, 3, 20, 4654040
721, 0, 3, 20, 6890677
751, 0, 3, 20, 5490108
781, 0, 3, 20, 5170042
811, 0, 3, 20, 5098323
841, 0, 3, 20, 6479953
871, 0, 3, 20, 5519535
901, 0, 3, 20, 6407306
931, 0, 3, 20, 6053754
961, 0, 3, 20, 6189679
991, 0, 3, 20, 6214333
1021, 0, 3, 20, 7859337
1051, 0, 3, 20, 6944305
1081, 0, 3, 20, 7484092
1111, 0, 3, 20, 8079844
1141, 0, 3, 20, 8209676
1171, 0, 3, 20, 8283555
1201, 0, 3, 20, 8356669
1231, 0, 3, 20, 8569140
1261, 0, 3, 20, 8831129
1291, 0, 3, 20, 8952703
1321, 0, 3, 20, 9205953
1351, 0, 3, 20, 9600496
1381, 0, 3, 20, 9615783
1411, 0, 3, 20, 9817417
1441, 0, 3, 20, 9965759
1471, 0, 3, 20, 10245926
1501, 0, 3, 20, 11110595
1531, 0, 3, 20, 10547291
1561, 0, 3, 20, 10743427
1591, 0, 3, 20, 11024525
1621, 0, 3, 20, 11467461
1651, 0, 3, 20, 11590590
1681, 0, 3, 20, 11726847
1711, 0, 3, 20, 12172557
1741, 0, 3, 20, 12045257
1771, 0, 3, 20, 12311805
1801, 0, 3, 20, 12382397
1831, 0, 3, 20, 12599867
1861, 0, 3, 20, 12833770
1891, 0, 3, 20, 13185014
1921, 0, 3, 20, 13123343
1951, 0, 3, 20, 13480965
1981, 0, 3, 20, 13609887
2011, 0, 3, 20, 13879607
2041, 0, 3, 20, 14179328
2071, 0, 3, 20, 14662744
2101, 0, 3, 20, 15246421
2131, 0, 3, 20, 15893786
2161, 0, 3, 20, 16414413
2191, 0, 3, 20, 16866023
2221, 0, 3, 20, 18044200
2251, 0, 3, 20, 17382104
2281, 0, 3, 20, 17720462
2311, 0, 3, 20, 18802897
2341, 0, 3, 20, 18150338
2371, 0, 3, 20, 18946978
2401, 0, 3, 20, 19058864
2431, 0, 3, 20, 18606002
2461, 0, 3, 20, 18890346
2491, 0, 3, 20, 19184006
2521, 0, 3, 20, 19747017
2551, 0, 3, 20, 19520886
2581, 0, 3, 20, 19819143
2611, 0, 3, 20, 19855471
2641, 0, 3, 20, 20307965
2671, 0, 3, 20, 20503569
2701, 0, 3, 20, 20703976
2731, 0, 3, 20, 20978777
2761, 0, 3, 20, 21023964
2791, 0, 3, 20, 21272089
2821, 0, 3, 20, 21407701
2851, 0, 3, 20, 21945895
2881, 0, 3, 20, 22597196
2911, 0, 3, 20, 22343933
2941, 0, 3, 20, 22568262
2971, 0, 3, 20, 22738997
3001, 0, 3, 20, 30193517
3031, 0, 3, 20, 24013561
3061, 0, 3, 20, 23319888
3091, 0, 3, 20, 23275500
3121, 0, 3, 20, 23615319
3151, 0, 3, 20, 23782481
3181, 0, 3, 20, 24020457
3211, 0, 3, 20, 24141119
3241, 0, 3, 20, 27831794
3271, 0, 3, 20, 24627465
3301, 0, 3, 20, 25543334
3331, 0, 3, 20, 25588463
3361, 0, 3, 20, 25513197
3391, 0, 3, 20, 25829103
3421, 0, 3, 20, 26388719
3451, 0, 3, 20, 26439135
3481, 0, 3, 20, 26561414
3511, 0, 3, 20, 27239842
3541, 0, 3, 20, 27123253
3571, 0, 3, 20, 28181030
3601, 0, 3, 20, 28383362
3631, 0, 3, 20, 27618356
3661, 0, 3, 20, 27890748
3691, 0, 3, 20, 28199282
3721, 0, 3, 20, 28561461
3751, 0, 3, 20, 28772046
3781, 0, 3, 20, 28724485
3811, 0, 3, 20, 28632397
3841, 0, 3, 20, 28579744
3871, 0, 3, 20, 29371986
3901, 0, 3, 20, 29443887
3931, 0, 3, 20, 30259974
3961, 0, 3, 20, 29872733
3991, 0, 3, 20, 30171026
4021, 0, 3, 20, 30169051
4051, 0, 3, 20, 30326495
4081, 0, 3, 20, 31342033
4111, 0, 3, 20, 31094400
4141, 0, 3, 20, 32726523
4171, 0, 3, 20, 32527671
4201, 0, 3, 20, 32807892
4231, 0, 3, 20, 33490862
4261, 0, 3, 20, 34338491
4291, 0, 3, 20, 34864298
4321, 0, 3, 20, 35408173
4351, 0, 3, 20, 36018760
4381, 0, 3, 20, 36480117
4411, 0, 3, 20, 36818470
4441, 0, 3, 20, 36759854
4471, 0, 3, 20, 36923482
4501, 0, 3, 20, 37131594
4531, 0, 3, 20, 41460224
4561, 0, 3, 20, 39154406
4591, 0, 3, 20, 38336219
4621, 0, 3, 20, 46902231
4651, 0, 3, 20, 41105417
4681, 0, 3, 20, 38975699
4711, 0, 3, 20, 39458722
4741, 0, 3, 20, 43099361
4771, 0, 3, 20, 39327882
4801, 0, 3, 20, 39524659
4831, 0, 3, 20, 39941583
4861, 0, 3, 20, 41207526
4891, 0, 3, 20, 41477741
4921, 0, 3, 20, 41277166
4951, 0, 3, 20, 49300058
4981, 0, 3, 20, 41111595
5011, 0, 3, 20, 41365280
5041, 0, 3, 20, 41624272
5071, 0, 3, 20, 41532446
5101, 0, 3, 20, 41915039
