n, m, RCL, iterations, tiempoTotal
1, 0, 3, 20, 21890
31, 465, 3, 20, 2694233
61, 1830, 3, 20, 10080970
91, 4095, 3, 20, 23144850
121, 7260, 3, 20, 41250182
151, 11325, 3, 20, 67298804
181, 16290, 3, 20, 99497171
211, 22155, 3, 20, 134689168
241, 28920, 3, 20, 176706925
271, 36585, 3, 20, 227443035
301, 45150, 3, 20, 296128233
331, 54615, 3, 20, 377247588
361, 64980, 3, 20, 473861437
391, 76245, 3, 20, 555098611
421, 88410, 3, 20, 664986056
451, 101475, 3, 20, 786035754
481, 115440, 3, 20, 907889678
511, 130305, 3, 20, 1050175268
541, 146070, 3, 20, 1198841741
571, 162735, 3, 20, 1365329928
601, 180300, 3, 20, 1543362846
631, 198765, 3, 20, 1730555670
661, 218130, 3, 20, 1896125780
691, 238395, 3, 20, 2120262082
721, 259560, 3, 20, 2302265005
751, 281625, 3, 20, 2525199121
781, 304590, 3, 20, 2762644899
811, 328455, 3, 20, 2970091165
841, 353220, 3, 20, 3215785784
871, 378885, 3, 20, 3562138115
901, 405450, 3, 20, 3738094909
931, 432915, 3, 20, 3974316127
961, 461280, 3, 20, 4263517061
991, 490545, 3, 20, 4545437157
1021, 520710, 3, 20, 4835615998
1051, 551775, 3, 20, 5132531988
1081, 583740, 3, 20, 5464821900
1111, 616605, 3, 20, 5827425510
1141, 650370, 3, 20, 6170067419
1171, 685035, 3, 20, 6517783648
1201, 720600, 3, 20, 7112672762
1231, 757065, 3, 20, 7527886968
