n, m, RCL, iterations, tiempoTotal
100, 4950, 3, 20, 39300218
130, 4950, 3, 20, 35682861
160, 4950, 3, 20, 33723069
190, 4950, 3, 20, 34098769
220, 4950, 3, 20, 34398220
250, 4950, 3, 20, 34329854
280, 4950, 3, 20, 34333492
310, 4950, 3, 20, 35607141
340, 4950, 3, 20, 34705625
370, 4950, 3, 20, 34806219
400, 4950, 3, 20, 35785329
430, 4950, 3, 20, 35136626
460, 4950, 3, 20, 35314900
490, 4950, 3, 20, 38901002
520, 4950, 3, 20, 35358495
550, 4950, 3, 20, 35202386
580, 4950, 3, 20, 36162468
610, 4950, 3, 20, 35021611
640, 4950, 3, 20, 36323312
670, 4950, 3, 20, 35747299
700, 4950, 3, 20, 35979762
730, 4950, 3, 20, 35958132
760, 4950, 3, 20, 35435130
790, 4950, 3, 20, 35530455
820, 4950, 3, 20, 34994097
850, 4950, 3, 20, 35979144
880, 4950, 3, 20, 35626304
910, 4950, 3, 20, 35386055
940, 4950, 3, 20, 39092187
970, 4950, 3, 20, 34970484
1000, 4950, 3, 20, 39401360
1030, 4950, 3, 20, 34470954
1060, 4950, 3, 20, 34964868
1090, 4950, 3, 20, 34815473
1120, 4950, 3, 20, 34210363
1150, 4950, 3, 20, 34544149
1180, 4950, 3, 20, 33939730
1210, 4950, 3, 20, 33134032
1240, 4950, 3, 20, 33421079
1270, 4950, 3, 20, 33947773
1300, 4950, 3, 20, 34212980
1330, 4950, 3, 20, 33135097
1360, 4950, 3, 20, 31697718
1390, 4950, 3, 20, 33306584
1420, 4950, 3, 20, 34543112
1450, 4950, 3, 20, 33829916
1480, 4950, 3, 20, 32880060
1510, 4950, 3, 20, 32649033
1540, 4950, 3, 20, 32081581
1570, 4950, 3, 20, 30711954
1600, 4950, 3, 20, 32016387
1630, 4950, 3, 20, 31522194
1660, 4950, 3, 20, 32268764
1690, 4950, 3, 20, 30587446
1720, 4950, 3, 20, 29640034
1750, 4950, 3, 20, 31257861
1780, 4950, 3, 20, 30277427
1810, 4950, 3, 20, 30310748
1840, 4950, 3, 20, 28957378
1870, 4950, 3, 20, 28915978
1900, 4950, 3, 20, 27205238
1930, 4950, 3, 20, 28177953
1960, 4950, 3, 20, 30893941
1990, 4950, 3, 20, 26814540
2020, 4950, 3, 20, 26142226
2050, 4950, 3, 20, 27060280
2080, 4950, 3, 20, 25137748
2110, 4950, 3, 20, 27341960
2140, 4950, 3, 20, 24740339
2170, 4950, 3, 20, 25600949
2200, 4950, 3, 20, 26464128
2230, 4950, 3, 20, 26692388
2260, 4950, 3, 20, 25454057
2290, 4950, 3, 20, 27020221
2320, 4950, 3, 20, 25389358
2350, 4950, 3, 20, 25513134
2380, 4950, 3, 20, 25247374
2410, 4950, 3, 20, 23981576
2440, 4950, 3, 20, 23819126
2470, 4950, 3, 20, 23225490
2500, 4950, 3, 20, 24385882
2530, 4950, 3, 20, 23325194
2560, 4950, 3, 20, 22999034
2590, 4950, 3, 20, 23825767
2620, 4950, 3, 20, 23188531
2650, 4950, 3, 20, 23802916
2680, 4950, 3, 20, 22714445
2710, 4950, 3, 20, 23734403
2740, 4950, 3, 20, 23893283
2770, 4950, 3, 20, 23402421
2800, 4950, 3, 20, 23859169
2830, 4950, 3, 20, 23322378
2860, 4950, 3, 20, 23327187
2890, 4950, 3, 20, 23939599
2920, 4950, 3, 20, 24002676
2950, 4950, 3, 20, 24134707
2980, 4950, 3, 20, 23605957
3010, 4950, 3, 20, 23666882
3040, 4950, 3, 20, 24579801
3070, 4950, 3, 20, 24426531
3100, 4950, 3, 20, 24586387
3130, 4950, 3, 20, 24648614
3160, 4950, 3, 20, 24106525
3190, 4950, 3, 20, 26114612
3220, 4950, 3, 20, 25855216
3250, 4950, 3, 20, 26293725
3280, 4950, 3, 20, 25426325
3310, 4950, 3, 20, 25245931
3340, 4950, 3, 20, 27011250
3370, 4950, 3, 20, 25914513
3400, 4950, 3, 20, 26388542
3430, 4950, 3, 20, 27080347
3460, 4950, 3, 20, 26461023
3490, 4950, 3, 20, 26787548
3520, 4950, 3, 20, 26734615
3550, 4950, 3, 20, 28289535
3580, 4950, 3, 20, 27350315
3610, 4950, 3, 20, 27347594
3640, 4950, 3, 20, 28570206
3670, 4950, 3, 20, 28738768
3700, 4950, 3, 20, 41083246
3730, 4950, 3, 20, 29834700
3760, 4950, 3, 20, 28416850
3790, 4950, 3, 20, 29826930
3820, 4950, 3, 20, 31364515
3850, 4950, 3, 20, 29063699
3880, 4950, 3, 20, 32390154
3910, 4950, 3, 20, 29340098
3940, 4950, 3, 20, 31553804
3970, 4950, 3, 20, 30552187
4000, 4950, 3, 20, 31758222
4030, 4950, 3, 20, 31581327
4060, 4950, 3, 20, 33474077
4090, 4950, 3, 20, 33089808
4120, 4950, 3, 20, 33084988
4150, 4950, 3, 20, 33752491
4180, 4950, 3, 20, 35622586
4210, 4950, 3, 20, 35271620
4240, 4950, 3, 20, 35684713
4270, 4950, 3, 20, 32407937
4300, 4950, 3, 20, 32239833
4330, 4950, 3, 20, 37412414
4360, 4950, 3, 20, 36994678
4390, 4950, 3, 20, 37779604
4420, 4950, 3, 20, 37721973
4450, 4950, 3, 20, 37853292
4480, 4950, 3, 20, 37626605
4510, 4950, 3, 20, 38408934
4540, 4950, 3, 20, 36656172
4570, 4950, 3, 20, 38694790
4600, 4950, 3, 20, 37108394
4630, 4950, 3, 20, 37555573
4660, 4950, 3, 20, 39640521
4690, 4950, 3, 20, 37699590
4720, 4950, 3, 20, 39980916
4750, 4950, 3, 20, 40925035
4780, 4950, 3, 20, 41639142
4810, 4950, 3, 20, 40682434
4840, 4950, 3, 20, 38326525
4870, 4950, 3, 20, 40545093
4900, 4950, 3, 20, 41554905
4930, 4950, 3, 20, 41410885
4960, 4950, 3, 20, 42098520
4990, 4950, 3, 20, 42186995
5020, 4950, 3, 20, 42463858
5050, 4950, 3, 20, 42273742
5080, 4950, 3, 20, 42894205
5110, 4950, 3, 20, 43400161
5140, 4950, 3, 20, 43467289
5170, 4950, 3, 20, 43898583
5200, 4950, 3, 20, 44879285
5230, 4950, 3, 20, 44125268
5260, 4950, 3, 20, 41768321
5290, 4950, 3, 20, 43481953
5320, 4950, 3, 20, 45451622
5350, 4950, 3, 20, 43178927
5380, 4950, 3, 20, 43378711
5410, 4950, 3, 20, 45858316
5440, 4950, 3, 20, 46645566
5470, 4950, 3, 20, 47003661
5500, 4950, 3, 20, 44414716
5530, 4950, 3, 20, 47699759
5560, 4950, 3, 20, 47994881
5590, 4950, 3, 20, 48373395
5620, 4950, 3, 20, 48191521
5650, 4950, 3, 20, 48197944
5680, 4950, 3, 20, 45924475
5710, 4950, 3, 20, 49923401
5740, 4950, 3, 20, 51172718
5770, 4950, 3, 20, 51844772
5800, 4950, 3, 20, 50598491
5830, 4950, 3, 20, 51440010
5860, 4950, 3, 20, 51502561
5890, 4950, 3, 20, 51248087
5920, 4950, 3, 20, 51886332
5950, 4950, 3, 20, 52110966
5980, 4950, 3, 20, 52926387
6010, 4950, 3, 20, 51844968
6040, 4950, 3, 20, 52093422
6070, 4950, 3, 20, 52323520
6100, 4950, 3, 20, 51945674
6130, 4950, 3, 20, 53697895
6160, 4950, 3, 20, 53834701
6190, 4950, 3, 20, 53813490
6220, 4950, 3, 20, 55185153
6250, 4950, 3, 20, 55313168
6280, 4950, 3, 20, 53979032
6310, 4950, 3, 20, 55886050
6340, 4950, 3, 20, 52267816
6370, 4950, 3, 20, 56296359
6400, 4950, 3, 20, 57159359
6430, 4950, 3, 20, 56551895
6460, 4950, 3, 20, 56431054
6490, 4950, 3, 20, 57527251
6520, 4950, 3, 20, 58508988
6550, 4950, 3, 20, 58943121
6580, 4950, 3, 20, 58423907
6610, 4950, 3, 20, 58476476
6640, 4950, 3, 20, 55932227
6670, 4950, 3, 20, 59963986
6700, 4950, 3, 20, 61593479
6730, 4950, 3, 20, 58878904
