n, m, tiempoTotal
100, 0, 434987
100, 5, 427666
100, 10, 421148
100, 15, 415945
100, 20, 422913
100, 25, 465431
100, 30, 563341
100, 35, 532947
100, 40, 481666
100, 45, 581360
100, 50, 500502
100, 55, 436259
100, 60, 439317
100, 65, 444223
100, 70, 435263
100, 75, 447676
100, 80, 436567
100, 85, 431960
100, 90, 474009
100, 95, 437135
100, 100, 427882
100, 105, 432621
100, 110, 434883
100, 115, 432949
100, 120, 437759
100, 125, 437818
100, 130, 451793
100, 135, 435165
100, 140, 432660
100, 145, 457649
100, 150, 442749
100, 155, 443243
100, 160, 550426
100, 165, 581604
100, 170, 576483
100, 175, 575235
100, 180, 531926
100, 185, 456377
100, 190, 460201
100, 195, 460247
100, 200, 485121
100, 205, 499138
100, 210, 466879
100, 215, 464975
100, 220, 455341
100, 225, 462001
100, 230, 453318
100, 235, 459523
100, 240, 463581
100, 245, 467789
100, 250, 472607
100, 255, 475942
100, 260, 473074
100, 265, 475362
100, 270, 540283
100, 275, 475356
100, 280, 470965
100, 285, 471273
100, 290, 474965
100, 295, 471790
100, 300, 475736
100, 305, 478579
100, 310, 468012
100, 315, 485957
100, 320, 464733
100, 325, 474723
100, 330, 482211
100, 335, 482968
100, 340, 495095
100, 345, 498406
100, 350, 641620
100, 355, 508933
100, 360, 505715
100, 365, 515725
100, 370, 508364
100, 375, 499152
100, 380, 498153
100, 385, 488671
100, 390, 481082
100, 395, 490690
100, 400, 482903
100, 405, 479115
100, 410, 506887
100, 415, 493734
100, 420, 497667
100, 425, 553709
100, 430, 590584
100, 435, 589217
100, 440, 591356
100, 445, 596288
100, 450, 591589
100, 455, 590609
100, 460, 530302
100, 465, 494105
100, 470, 486557
100, 475, 486308
100, 480, 501779
100, 485, 500209
100, 490, 518806
100, 495, 600983
100, 500, 602720
100, 505, 605941
100, 510, 613777
100, 515, 613826
100, 520, 616485
100, 525, 609238
100, 530, 604937
100, 535, 550404
100, 540, 503684
100, 545, 502045
100, 550, 512330
