n, m, tiempoTotal
20, 0, 3101
40, 0, 3043
60, 0, 4000
80, 0, 4880
100, 0, 4333
120, 0, 4058
140, 0, 4595
160, 0, 8242
180, 0, 9301
200, 0, 9849
220, 0, 9918
240, 0, 12052
260, 0, 12640
280, 0, 12859
300, 0, 12904
320, 0, 14137
340, 0, 14798
360, 0, 15026
380, 0, 14788
400, 0, 15102
420, 0, 15259
440, 0, 21102
460, 0, 17448
480, 0, 16569
500, 0, 19223
520, 0, 20008
540, 0, 23285
560, 0, 20798
580, 0, 26329
600, 0, 22410
620, 0, 23529
640, 0, 23629
660, 0, 24959
680, 0, 22287
700, 0, 29092
720, 0, 27633
740, 0, 23092
760, 0, 25484
780, 0, 19220
800, 0, 16518
820, 0, 16819
840, 0, 17720
860, 0, 18520
880, 0, 18383
900, 0, 26693
920, 0, 18283
940, 0, 19648
960, 0, 24749
980, 0, 21130
1000, 0, 27479
1020, 0, 20144
1040, 0, 29809
1060, 0, 21590
1080, 0, 22480
1100, 0, 27312
1120, 0, 29407
1140, 0, 23513
1160, 0, 24196
1180, 0, 23281
1200, 0, 30198
1220, 0, 24422
1240, 0, 27095
1260, 0, 25999
1280, 0, 25870
1300, 0, 29513
1320, 0, 27246
1340, 0, 26907
1360, 0, 28490
1380, 0, 31126
1400, 0, 37043
1420, 0, 29632
1440, 0, 28709
1460, 0, 29220
1480, 0, 30187
1500, 0, 29874
1520, 0, 37193
1540, 0, 42872
1560, 0, 39331
1580, 0, 35734
1600, 0, 56770
1620, 0, 46768
1640, 0, 54027
1660, 0, 57679
1680, 0, 38180
1700, 0, 38733
1720, 0, 56705
1740, 0, 88182
1760, 0, 34644
1780, 0, 35262
1800, 0, 48328
1820, 0, 39624
1840, 0, 51210
1860, 0, 83062
1880, 0, 54533
1900, 0, 62629
1920, 0, 54019
1940, 0, 37914
1960, 0, 38259
1980, 0, 39219
2000, 0, 43501
2020, 0, 42354
2040, 0, 53865
2060, 0, 41668
2080, 0, 39298
2100, 0, 53355
2120, 0, 43693
2140, 0, 49134
2160, 0, 41231
2180, 0, 42556
2200, 0, 42509
2220, 0, 42299
2240, 0, 42694
2260, 0, 48545
2280, 0, 43265
2300, 0, 44207
2320, 0, 44204
2340, 0, 44010
2360, 0, 56392
2380, 0, 46718
2400, 0, 47092
2420, 0, 47193
2440, 0, 57701
2460, 0, 53724
2480, 0, 46041
2500, 0, 51332
2520, 0, 49543
2540, 0, 47297
2560, 0, 50508
2580, 0, 48600
2600, 0, 49578
2620, 0, 49452
2640, 0, 49224
2660, 0, 56771
2680, 0, 50097
2700, 0, 56595
2720, 0, 51431
2740, 0, 58193
2760, 0, 54154
2780, 0, 52289
2800, 0, 51899
2820, 0, 52233
2840, 0, 55252
2860, 0, 53774
2880, 0, 134211
2900, 0, 86024
2920, 0, 58852
2940, 0, 58689
2960, 0, 100597
2980, 0, 76446
3000, 0, 55894
3020, 0, 55874
3040, 0, 56466
3060, 0, 56509
3080, 0, 57252
3100, 0, 57004
3120, 0, 57355
3140, 0, 58208
3160, 0, 58529
3180, 0, 58844
3200, 0, 62262
3220, 0, 66012
3240, 0, 63217
3260, 0, 60919
3280, 0, 81372
