n, m, tiempoTotal
20, 190, 43508
40, 780, 178992
60, 1770, 509246
80, 3160, 532947
100, 4950, 1255576
120, 7140, 1960887
140, 9730, 2521120
160, 12720, 3974084
180, 16110, 4508001
200, 19900, 4703508
220, 24090, 2769960
240, 28680, 3800940
260, 33670, 4059053
280, 39060, 5051519
300, 44850, 5689518
320, 51040, 6938327
340, 57630, 8081838
360, 64620, 9123943
380, 72010, 10430231
400, 79800, 12327349
420, 87990, 15154223
440, 96580, 17055043
460, 105570, 19343908
480, 114960, 21677899
500, 124750, 24551075
520, 134940, 26308992
540, 145530, 29358925
560, 156520, 31335551
580, 167910, 34610755
600, 179700, 38398081
620, 191890, 42308629
640, 204480, 44668950
660, 217470, 46641903
680, 230860, 49407284
700, 244650, 53080418
720, 258840, 57334560
740, 273430, 59725524
760, 288420, 64189588
780, 303810, 68205792
800, 319600, 73258690
820, 335790, 75868395
840, 352380, 79829687
860, 369370, 83196201
880, 386760, 86719664
900, 404550, 91885661
920, 422740, 95446928
940, 441330, 99584446
960, 460320, 105250442
980, 479710, 107547016
1000, 499500, 114026532
1020, 519690, 118837150
1040, 540280, 122798893
1060, 561270, 127639397
1080, 582660, 133529264
1100, 604450, 138850337
1120, 626640, 144609269
1140, 649230, 150010005
1160, 672220, 154609256
1180, 695610, 160012736
1200, 719400, 166923405
1220, 743590, 172248290
1240, 768180, 178656653
1260, 793170, 186213583
1280, 818560, 190660677
1300, 844350, 198846164
1320, 870540, 203328764
1340, 897130, 209924356
1360, 924120, 217288387
1380, 951510, 224178505
1400, 979300, 228149799
1420, 1007490, 235947664
1440, 1036080, 245545148
1460, 1065070, 252594668
1480, 1094460, 258441567
1500, 1124250, 272671477
1520, 1154440, 284094852
1540, 1185030, 281655541
1560, 1216020, 290896998
1580, 1247410, 298393835
1600, 1279200, 305721921
1620, 1311390, 314239095
1640, 1343980, 321746706
1660, 1376970, 332409121
1680, 1410360, 337646007
1700, 1444150, 347521553
1720, 1478340, 354895178
1740, 1512930, 361841476
1760, 1547920, 377394924
1780, 1583310, 385651454
1800, 1619100, 517900562
1820, 1655290, 401129653
1840, 1691880, 410361696
1860, 1728870, 421786788
1880, 1766260, 431948953
1900, 1804050, 438072362
1920, 1842240, 449356803
1940, 1880830, 457554136
1960, 1919820, 466960300
1980, 1959210, 529065163
2000, 1999000, 487650169
2020, 2039190, 654704177
2040, 2079780, 505606871
2060, 2120770, 517504826
2080, 2162160, 575271154
2100, 2203950, 589500247
2120, 2246140, 547221009
2140, 2288730, 622962629
2160, 2331720, 684796923
2180, 2375110, 691929934
2200, 2418900, 726249333
2220, 2463090, 724282335
2240, 2507680, 694481678
2260, 2552670, 689733583
2280, 2598060, 868639680
2300, 2643850, 779806314
2320, 2690040, 775108540
2340, 2736630, 982640338
2360, 2783620, 771850117
2380, 2831010, 781626802
2400, 2878800, 852288884
2420, 2926990, 759702966
2440, 2975580, 1034565138
2460, 3024570, 930478393
2480, 3073960, 884941368
2500, 3123750, 894286758
2520, 3173940, 851279356
2540, 3224530, 912598358
2560, 3275520, 953225852
2580, 3326910, 928692447
2600, 3378700, 944632104
2620, 3430890, 975108272
2640, 3483480, 905564617
2660, 3536470, 1020912588
2680, 3589860, 921676564
2700, 3643650, 1093098467
2720, 3697840, 1053146631
2740, 3752430, 1000196897
2760, 3807420, 1535336928
2780, 3862810, 1007559088
2800, 3918600, 1030676908
2820, 3974790, 1075723966
2840, 4031380, 1281342712
2860, 4088370, 1280950623
2880, 4145760, 1143887861
2900, 4203550, 1128728310
2920, 4261740, 1210353261
2940, 4320330, 1179907517
2960, 4379320, 1560168598
2980, 4438710, 1412020832
3000, 4498500, 1392913587
3020, 4558690, 1187219524
3040, 4619280, 1507934594
3060, 4680270, 1221035450
3080, 4741660, 1326314922
3100, 4803450, 1915089159
3120, 4865640, 1277469053
3140, 4928230, 1301122531
3160, 4991220, 1588703675
3180, 5054610, 1945030309
3200, 5118400, 1333836779
3220, 5182590, 1368930772
3240, 5247180, 1641454352
3260, 5312170, 1511397106
3280, 5377560, 1451763394
3300, 5443350, 1552052620
3320, 5509540, 1482869763
3340, 5576130, 1502212963
3360, 5643120, 1638447731
3380, 5710510, 2008309507
3400, 5778300, 2187332972
3420, 5846490, 1745755281
3440, 5915080, 1957917720
3460, 5984070, 2029904571
3480, 6053460, 1946583246
