n, m, tiempoTotal
20, 190, 36703
50, 190, 42275
80, 190, 35421
110, 190, 31439
140, 190, 37280
170, 190, 30736
200, 190, 18271
230, 190, 18211
260, 190, 11480
290, 190, 10823
320, 190, 16334
350, 190, 10040
380, 190, 15251
410, 190, 10743
440, 190, 12739
470, 190, 11584
500, 190, 12159
530, 190, 13532
560, 190, 17922
590, 190, 14974
620, 190, 18548
650, 190, 16030
680, 190, 14793
710, 190, 17412
740, 190, 19497
770, 190, 19543
800, 190, 17791
830, 190, 18292
860, 190, 22534
890, 190, 20184
920, 190, 19876
950, 190, 21633
980, 190, 21804
1010, 190, 21835
1040, 190, 21492
1070, 190, 22382
1100, 190, 23621
1130, 190, 22898
1160, 190, 23164
1190, 190, 25936
1220, 190, 29546
1250, 190, 24251
1280, 190, 26140
1310, 190, 31840
1340, 190, 29929
1370, 190, 28332
1400, 190, 27784
1430, 190, 28765
1460, 190, 27643
1490, 190, 28274
1520, 190, 28607
1550, 190, 30806
1580, 190, 29037
1610, 190, 31781
1640, 190, 30197
1670, 190, 31261
1700, 190, 33677
1730, 190, 33044
1760, 190, 39395
1790, 190, 34575
1820, 190, 37599
1850, 190, 34941
1880, 190, 35963
1910, 190, 34079
1940, 190, 37759
1970, 190, 34865
2000, 190, 35855
2030, 190, 40479
2060, 190, 38823
2090, 190, 36812
2120, 190, 63894
2150, 190, 48623
2180, 190, 39253
2210, 190, 39448
2240, 190, 40600
2270, 190, 40007
2300, 190, 51729
2330, 190, 68497
2360, 190, 49981
2390, 190, 50882
2420, 190, 47335
2450, 190, 65114
2480, 190, 45385
2510, 190, 45670
2540, 190, 49971
2570, 190, 49581
2600, 190, 45626
2630, 190, 44951
2660, 190, 45716
2690, 190, 46683
2720, 190, 49512
2750, 190, 46702
2780, 190, 57857
2810, 190, 47703
2840, 190, 48448
2870, 190, 50016
2900, 190, 49123
2930, 190, 54567
2960, 190, 49931
2990, 190, 52006
3020, 190, 54772
3050, 190, 51612
3080, 190, 51707
3110, 190, 52451
3140, 190, 53679
3170, 190, 53735
3200, 190, 56677
3230, 190, 58529
3260, 190, 55849
3290, 190, 70800
3320, 190, 62138
3350, 190, 75847
3380, 190, 57690
3410, 190, 57622
3440, 190, 76055
3470, 190, 75672
3500, 190, 57817
3530, 190, 59289
3560, 190, 59144
3590, 190, 63778
3620, 190, 68831
3650, 190, 60634
3680, 190, 65762
3710, 190, 75954
3740, 190, 68666
3770, 190, 68979
3800, 190, 68287
3830, 190, 68862
3860, 190, 63839
3890, 190, 65930
3920, 190, 64840
3950, 190, 64900
3980, 190, 72116
4010, 190, 66305
4040, 190, 70853
4070, 190, 67009
4100, 190, 68919
4130, 190, 69689
4160, 190, 68024
4190, 190, 69005
4220, 190, 73845
4250, 190, 69489
4280, 190, 70153
4310, 190, 70045
4340, 190, 79160
4370, 190, 71423
4400, 190, 77644
4430, 190, 72385
4460, 190, 74034
4490, 190, 74139
4520, 190, 73694
4550, 190, 76397
4580, 190, 100451
4610, 190, 77699
4640, 190, 79527
4670, 190, 103775
4700, 190, 90695
4730, 190, 80605
4760, 190, 99266
4790, 190, 81483
4820, 190, 78877
4850, 190, 80980
4880, 190, 80648
4910, 190, 87473
4940, 190, 79590
4970, 190, 80349
5000, 190, 85362
5030, 190, 97140
5060, 190, 112919
5090, 190, 90273
5120, 190, 85239
5150, 190, 86608
5180, 190, 83122
5210, 190, 88415
5240, 190, 85220
5270, 190, 95877
5300, 190, 100689
5330, 190, 85520
5360, 190, 91720
5390, 190, 91649
5420, 190, 91681
5450, 190, 88543
5480, 190, 106734
5510, 190, 103446
5540, 190, 95150
5570, 190, 113217
5600, 190, 96479
5630, 190, 97071
5660, 190, 93466
5690, 190, 91219
5720, 190, 104917
5750, 190, 91729
5780, 190, 106595
5810, 190, 105369
5840, 190, 109018
5870, 190, 93337
5900, 190, 94170
5930, 190, 100840
5960, 190, 95666
5990, 190, 113104
6020, 190, 127652
6050, 190, 113887
6080, 190, 131487
6110, 190, 97638
6140, 190, 115834
6170, 190, 126310
6200, 190, 140286
6230, 190, 106442
6260, 190, 116111
6290, 190, 119912
6320, 190, 122836
6350, 190, 117469
6380, 190, 127806
6410, 190, 112282
6440, 190, 122321
6470, 190, 102794
6500, 190, 104965
6530, 190, 104460
6560, 190, 104367
6590, 190, 105212
6620, 190, 106086
6650, 190, 105024
6680, 190, 109458
6710, 190, 106188
6740, 190, 107006
6770, 190, 107070
6800, 190, 107612
6830, 190, 107972
6860, 190, 141993
6890, 190, 150986
6920, 190, 109377
6950, 190, 109561
6980, 190, 111541
7010, 190, 122878
7040, 190, 110845
7070, 190, 113213
7100, 190, 119423
7130, 190, 113659
7160, 190, 116793
7190, 190, 113703
7220, 190, 116452
7250, 190, 115597
7280, 190, 117455
7310, 190, 119278
7340, 190, 115112
7370, 190, 115806
7400, 190, 119829
7430, 190, 125016
7460, 190, 121240
7490, 190, 119355
7520, 190, 128175
7550, 190, 129743
7580, 190, 125979
7610, 190, 122411
7640, 190, 120094
7670, 190, 121282
7700, 190, 121935
7730, 190, 145192
7760, 190, 126102
7790, 190, 128698
7820, 190, 143299
7850, 190, 124424
7880, 190, 167221
7910, 190, 142920
7940, 190, 124441
7970, 190, 125044
8000, 190, 126650
8030, 190, 125936
8060, 190, 133082
8090, 190, 126699
8120, 190, 138331
8150, 190, 127446
8180, 190, 128739
8210, 190, 128732
8240, 190, 132814
8270, 190, 133565

