n, m, tiempoTotalHConstructiva, tiempoTotalBLocal, tiempoTotalGrasp
10, 0, 2159, 1215, 10278
10, 1, 2335, 979, 5715
10, 2, 2229, 737, 6073
10, 3, 2508, 378, 5768
10, 4, 3203, 353, 5747
10, 5, 3588, 384, 6262
10, 6, 3780, 395, 6108
10, 7, 3593, 429, 6362
10, 8, 4314, 370, 5436
10, 9, 3736, 409, 6558
10, 10, 5455, 490, 6784
10, 11, 3877, 500, 6650
10, 12, 4175, 450, 6655
10, 13, 5110, 431, 6329
10, 14, 6706, 425, 6931
10, 15, 6764, 367, 6318
10, 16, 5884, 398, 6442
10, 17, 6811, 407, 6756
10, 18, 5875, 461, 6582
10, 19, 6498, 461, 6613
10, 20, 7609, 451, 6528
10, 21, 7570, 466, 7170
10, 22, 8591, 800, 7378
10, 23, 8489, 664, 7599
10, 24, 8414, 501, 7361
10, 25, 8251, 446, 7158
10, 26, 8364, 465, 7658
10, 27, 8966, 748, 7450
10, 28, 10164, 445, 7378
10, 29, 9903, 597, 7229
10, 30, 9512, 498, 6964
10, 31, 9021, 385, 6412
10, 32, 9899, 690, 6159
10, 33, 7934, 430, 6183
10, 34, 15438, 744, 7196
10, 35, 8793, 411, 6572
10, 36, 9896, 475, 7143
10, 37, 10358, 415, 7213
10, 38, 10524, 457, 7019
10, 39, 10877, 430, 7127
10, 40, 10258, 466, 6878
10, 41, 10753, 522, 7186
10, 42, 11651, 523, 7278
10, 43, 11413, 506, 7519
10, 44, 11132, 480, 7443
10, 45, 11839, 475, 7549
