n, m, tiempoTotalHConstructiva, tiempoTotalBLocal, tiempoTotalGraspK5, tiempoTotalGraspK25, tiempoTotalGraspKN
10, 45, 15582, 706, 4220105, 3501377, 3466575
30, 45, 11591, 1850, 2821258, 2780663, 3123906
50, 45, 10799, 2379, 5104944, 7048987, 6659330
70, 45, 11837, 2260, 7678843, 7609150, 14205423
90, 45, 7216, 2644, 11846013, 15331815, 26543608
110, 45, 9514, 3567, 16687024, 22452322, 43916440
130, 45, 9141, 3866, 31286860, 29072353, 57701057
150, 45, 8441, 3886, 48745198, 39801237, 66289676
170, 45, 6914, 3325, 47901974, 57343030, 80377663
190, 45, 7065, 3684, 35698184, 73368363, 104533851
210, 45, 6049, 3883, 50714651, 78820894, 124011716
230, 45, 6747, 4216, 110875177, 115625332, 142955983
250, 45, 7314, 4673, 116214863, 138274452, 184304696
270, 45, 7003, 4849, 134392078, 180419458, 212127197
290, 45, 7551, 5194, 130780292, 192845787, 235332082
310, 45, 8480, 6193, 192368162, 240652760, 287527268
330, 45, 8263, 5928, 179247529, 258652357, 313569505
350, 45, 8944, 6331, 241610796, 316030576, 374883835
370, 45, 9483, 6657, 182670181, 276847901, 406861094
390, 45, 9601, 7063, 235546440, 371960413, 454645099
410, 45, 10395, 7394, 301284961, 460230990, 512638566
430, 45, 13784, 8440, 275390892, 486011641, 620635026
450, 45, 17864, 12371, 704122883, 787424643, 837292466
470, 45, 13871, 10126, 528328894, 677400962, 719915941
490, 45, 15206, 10573, 474552263, 663116908, 793021152
510, 45, 13188, 9895, 508626777, 738362102, 847706134
530, 45, 13775, 10362, 706195842, 843181450, 937778018
550, 45, 13778, 10658, 536601227, 872484221, 1007646657
570, 45, 16368, 12633, 649911167, 959127466, 1088289413
590, 45, 15134, 11671, 599611525, 1025923752, 1163662690
610, 45, 310738, 16007, 1072585824, 1431998302, 1454428881
630, 45, 15707, 12021, 695704624, 1123734437, 1323169723
650, 45, 18087, 12845, 824192704, 1245479485, 1426227449
670, 45, 17480, 13139, 849477528, 1298964227, 1516723118
690, 45, 16934, 12634, 916470358, 1348001130, 1549333072
710, 45, 37895, 15239, 1180148972, 1660548117, 1498405588
730, 45, 16740, 12722, 1266771098, 1587482931, 1624777298
750, 45, 21215, 16026, 1112185322, 1530131340, 1705135948
770, 45, 16319, 13409, 1021016899, 1723659420, 1922521983
790, 45, 32023, 18584, 1008589727, 1675285731, 1919120403
810, 45, 20057, 14073, 1539863731, 2042250274, 2007542480
830, 45, 19129, 17682, 1164745212, 1734212377, 2087043399
850, 45, 22218, 15078, 1671890326, 2120563452, 2199758918
870, 45, 18902, 15136, 1450369482, 2170584126, 2316317847
890, 45, 20592, 15643, 1254860408, 1978544182, 2415721044
910, 45, 19303, 15795, 2085416158, 2354807967, 2457041288
930, 45, 18771, 16139, 2144268422, 2530698488, 2594977807
950, 45, 22775, 17745, 2308178312, 3025072198, 3269366651
970, 45, 73659, 17125, 1552811646, 2326458053, 2832961601
990, 45, 22105, 20899, 1317548892, 2697100086, 2992729695
