k,frontera_hallada,frontera_maxima
20,20,38
40,40,78
60,60,118
80,80,158
100,100,198
120,120,238
140,140,278
160,160,318
180,180,358
200,200,398
220,220,438
240,240,478
260,260,518
280,280,558
300,300,598
320,320,638
340,340,678
360,360,718
380,380,758
400,400,798
420,420,838
440,440,878
460,460,918
480,480,958
500,500,998
520,520,1038
540,540,1078
560,560,1118
580,580,1158
600,600,1198
620,620,1238
640,640,1278
660,660,1318
680,680,1358
700,700,1398
720,720,1438
740,740,1478
760,760,1518
780,780,1558
800,800,1598
820,820,1638
840,840,1678
860,860,1718
880,880,1758
900,900,1798
920,920,1838
940,940,1878
960,960,1918
980,980,1958
1000,1000,1998
